disease_korean_title,symptoms,okt_symptoms,disease_label
KAT6B 관련 증후군, 성장지연,성 장지연,139
KAT6B 관련 증후군, 구개열,구개열,139
KAT6B 관련 증후군, 청력 저하,청력 저하,139
KAT6B 관련 증후군, 치아 이상,치아 이상,139
12번 염색체 단완 13 부분의 미세중복,특징적인 얼굴생김새,특징 적 얼굴 생김새,13
12번 염색체 단완 13 부분의 미세중복, 발달 지연,발달 지연,13
12번 염색체 단완 13 부분의 미세중복, 지적장애,지적장애,13
12번 염색체 단완 13 부분의 미세중복, 저긴장증,저 긴장 증,13
12번 염색체 단완 13 부분의 미세중복, 수유장애,수유 장애,13
12번 염색체 단완 13 부분의 미세중복, 탈장,탈장,13
12번 염색체 단완 13 부분의 미세중복, 잠복고환,잠복 고환,13
12번 염색체 장완 13 부분의 미세중복,특징적인 얼굴 생김새,특징 적 얼굴 생김새,15
12번 염색체 장완 13 부분의 미세중복, 발달 지연,발달 지연,15
12번 염색체 장완 13 부분의 미세중복, 지적 장애,지적 장애,15
12번 염색체 장완 13 부분의 미세중복, 언어 및 학습장애,언어 및 학습장애,15
12번 염색체 장완 13 부분의 미세중복, 성장 장애,성장 장애,15
12번 염색체 장완 13 부분의 미세중복, 섭식 장애,섭식 장애,15
13번 염색체 장완 21-22 부분의 결손,저신장,저 신장,17
13번 염색체 장완 21-22 부분의 결손, 성장분전,성장 분전,17
13번 염색체 장완 21-22 부분의 결손, 잦은 호흡기 감염,잦다 호흡기 감염,17
13번 염색체 장완 21-22 부분의 결손, 십이지장 폐쇄,십이지장 폐쇄,17
13번 염색체 장완 21-22 부분의 결손, 사시,사시,17
13번 염색체 장완 21-22 부분의 결손, 경련,경련,17
13번 염색체 장완 21-22 부분의 결손, 언어 발달지연,언어 발달 지연,17
13번 염색체 장완 21-22 부분의 결손, 과잉행동,과잉행동,17
13번 염색체 장완 21-22 부분의 결손, 지적장애 등,지적장애 등,17
17번 염색체 장완 25.1 부분의 중복 증후군,발달지연,발달 지연,37
17번 염색체 장완 25.1 부분의 중복 증후군, 지적 장애,지적 장애,37
17번 염색체 장완 25.1 부분의 중복 증후군, 저신장,저 신장,37
17번 염색체 장완 25.1 부분의 중복 증후군, 두개안면 기형과 함께 근골격계,두 개 안면 기형 함께 근 골격계,37
17번 염색체 장완 25.1 부분의 중복 증후군, 심장,심장,37
17번 염색체 장완 25.1 부분의 중복 증후군, 비뇨기계 기형 등,비뇨기계 기형 등,37
18번 염색체 단완의 사염색체증,유아기의 섭식 곤란,유아기 섭식 곤란,41
18번 염색체 단완의 사염색체증, 발달 지연,발달 지연,41
18번 염색체 단완의 사염색체증, 지적 장애,지적 장애,41
18번 염색체 단완의 사염색체증, 근긴장도의 변화,근 긴장도 변화,41
18번 염색체 단완의 사염색체증, 독특한 얼굴 특징 및 기타 선천적 결함,독특하다 얼굴 특징 및 기타 선천 적 결함,41
19번 염색체 단완 13.3 부분의 중복,자궁 내 성장 지연,자궁 내 성장 지연,47
19번 염색체 단완 13.3 부분의 중복, 소두증,소 두 증,47
19번 염색체 단완 13.3 부분의 중복, 근육 긴장 저하,근육 긴장 저하,47
19번 염색체 단완 13.3 부분의 중복, 발달 지연,발달 지연,47
19번 염색체 단완 13.3 부분의 중복, 지적 장애,지적 장애,47
19번 염색체 단완 13.3 부분의 중복, 얼굴생김새 이상,얼굴 생김새 이상,47
19번 염색체 단완 13.3 부분의 중복, 손발의 이상,손발 이상,47
1번 염색체 단완 31-32 부분의 미세결손,비뇨기계 이상을 동반할 수 있는 뇌 기형,비뇨기계 이상 동반 하다 수 있다 뇌 기형,49
1번 염색체 장완 21.3 부분의 미세결손 증후군,지능장애,지능 장애,52
1번 염색체 장완 21.3 부분의 미세결손 증후군, 발달지연,발달 지연,52
1번 염색체 장완 21.3 부분의 미세결손 증후군, 자폐,자폐,52
1번 염색체 장완 21.3 부분의 미세결손 증후군, 특징적 외모,특징 적 외모,52
2번 염색체 장완의 31-33 부분의 미세결손,정신지체,정신지체,66
2번 염색체 장완의 31-33 부분의 미세결손, 언어장애,언어장애,66
2번 염색체 장완의 31-33 부분의 미세결손, 행동장애,행동 장애,66
2번 염색체 장완의 31-33 부분의 미세결손, 경련,경련,66
2번 염색체 장완의 31-33 부분의 미세결손, 특징적 외모,특징 적 외모,66
2번 염색체 장완의 31-33 부분의 미세결손, 골격계 기형,골격계 기형,66
2번 염색체 장완 33-37 부분의 중복 증후군,정신지체,정신지체,64
2번 염색체 장완 33-37 부분의 중복 증후군, 특징적 외모,특징 적 외모,64
2번 염색체 장완 33-37 부분의 중복 증후군, 저신장,저 신장,64
2번 염색체 장완 33-37 부분의 중복 증후군, 비뇨기계 기형,비뇨기계 기형,64
3번 염색체 장완 26 부분의 중복,지능장애,지능 장애,73
3번 염색체 장완 26 부분의 중복, 발달지연,발달 지연,73
3번 염색체 장완 26 부분의 중복, 저신장,저 신장,73
3번 염색체 장완 26 부분의 중복, 특징적 얼굴형태이상,특징 적 얼굴 형태 이상,73
3번 염색체 장완 26 부분의 중복, 선천성 심질환,선천성 심질환,73
3번 염색체 장완 26 부분의 중복, 비뇨기계,비뇨기계,73
3번 염색체 장완 26 부분의 중복, 골격계 기형,골격계 기형,73
8번 삼염색체 섞임증,특징적인 얼굴 생김새,특징 적 얼굴 생김새,97
8번 삼염색체 섞임증, 신기형,신기 형,97
8번 삼염색체 섞임증, 심기형,심기 형,97
8번 삼염색체 섞임증, 골격계 이상,골격계 이상,97
ADCY5 관련 이상운동증,무도병양 행동장애,무도 병 양 행동 장애,108
ADCY5 관련 이상운동증, 간대성 근경련,간 대성 근 경련,108
ADCY5 관련 이상운동증, 근이상증,근 이상 증,108
ADCY5 관련 이상운동증, 떨림증,떨리다 증,108
ATP1A3 관련 뇌병증,급성발현 근긴장 이상 파킨슨병,급성 발현 근 긴장 이상 파킨슨병,112
ATP1A3 관련 뇌병증, 소아 교대성 편마비,소아 교대 성 편 마비,112
ATP1A3 관련 뇌병증, 소뇌성 운동실조,소뇌 성 운동 실조,112
ATP1A3 관련 뇌병증, 무반사,무 반사,112
ATP1A3 관련 뇌병증, 요족,요족,112
ATP1A3 관련 뇌병증, 시신경위축,시신경 위축,112
ATP1A3 관련 뇌병증, 감각신경난청,감각 신경 난청,112
ATP1A3 관련 뇌병증, 발열-유발 발작성 쇠약 및 뇌증,발열 유발 발작 성 쇠약 및 뇌증,112
베타-프로펠러 단백질 연관 신경변성,발달지연,발달 지연,462
베타-프로펠러 단백질 연관 신경변성, 신경변성,신경 변성,462
CASK 관련 장애,소두증,소 두 증,118
CASK 관련 장애, 발달장애,발달장애,118
CASK 관련 장애, 지적장애,지적장애,118
CASK 관련 장애, 경련,경련,118
CASK 관련 장애, 근긴장 저하,근 긴장 저하,118
CASK 관련 장애, 눈떨림,눈 떨리다,118
COL4A3BP 관련 정신 지체,발달지연,발달 지연,121
COL4A3BP 관련 정신 지체, 지적장애,지적장애,121
COL4A3BP 관련 정신 지체, 전신강직간대발작,전 신 강직 간 대 발작,121
COL4A3BP 관련 정신 지체, 다양한 기형,다양하다 기형,121
CTNNB1 관련 장애,발달지연,발달 지연,122
CTNNB1 관련 장애, 지적장애,지적장애,122
CTNNB1 관련 장애, 몸통 저긴장,몸통 저 긴장,122
CTNNB1 관련 장애, 강직,강직,122
CTNNB1 관련 장애, 소두증,소 두 증,122
CTNNB1 관련 장애, 시각 이상,시각 이상,122
CTNNB1 관련 장애, 얼굴 생김새 이상,얼굴 생김새 이상,122
FG2 증후군,정신지체,정신지체,129
FG2 증후군, 발달지연(특히 언어지연),발달 지연 특히 언어 지연,129
FG2 증후군, 신생아 근긴장 저하,신생아 근 긴장 저하,129
FG2 증후군, 특징적인 얼굴형태,특징 적 얼굴 형태,129
FG2 증후군, 위장관계 기형,위장 관계 기형,129
FG2 증후군, 잠복고환,잠복 고환,129
FG2 증후군, 선천성 심장질환,선천성 심장질환,129
FG2 증후군, 심한 변비,심하다 변비,129
GATA2 결핍,혈액학적 및 면역학적으로 광범위한 범주의 표현형이 나타나는데,혈액학 적 및 면역학 적 광범위하다 범주 표현형 나타나다,131
GATA2 결핍, 단핵구 감소증,단핵구 감소 증,131
GATA2 결핍, 재생불량성 빈혈이나 골수이형성증후군,재생 불량 성 빈혈 골수 이형성 증후군,131
GATA2 결핍, 골수부전 등이 흔히 나타납니다.,골수 부전 등 흔하다 나타나다,131
글라스증후군,언어 장애,언어 장애,242
글라스증후군, 영아의 근긴장도 저하 및 수유곤란,영아 근 긴장도 저하 및 수유 곤란,242
글라스증후군, 자폐증,자폐증,242
글라스증후군, 집중력 저하,집중 력 저하,242
글라스증후군, 과잉행동,과잉행동,242
글라스증후군, 공격성,공격성,242
글라스증후군, 높은 구개궁,높다 구개 궁,242
글라스증후군, 구개열,구개열,242
글라스증후군, 갈라진 목젖,갈라지다 목젖,242
글라스증후군, 소두증,소 두 증,242
글라스증후군, 안면 이형성,안면 이형성,242
글라스증후군, 치아 이상,치아 이상,242
글라스증후군, 흉곽이상,흉곽 이상,242
글라스증후군, 척추측만증,척추측만증,242
글라스증후군, 관절 구축증,관절 구축 증,242
글라스증후군, 판막 이상,판막 이상,242
글라스증후군, 대동맥 확장증,대동맥 확장 증,242
글라스증후군, 뇌 기형,뇌 기형,242
글라스증후군, 비뇨생식기 이상,비뇨 생식기 이상,242
글라스증후군, 성장 지연 등,성장 지연 등,242
유전성 만성 췌장염,유전성 췌장염의 첫 증상은 주로 소아청소년 시기에 발생함,유전 성 췌장염 첫 증상 주로 소아 청소년 시기 발생 함,739
유전성 만성 췌장염, 만성적 혹은 간헐적인 경도에서 중증의 복통,만 성적 혹은 간 헐다 적 경도 중증 복통,739
유전성 만성 췌장염, 발열,발열,739
유전성 만성 췌장염, 오심,오심,739
유전성 만성 췌장염, 구토,구토,739
고함-스타우트 병,뼈 상실,뼈 상실,209
고함-스타우트 병, 골절,골절,209
고함-스타우트 병, 혈관종(Angiomas),혈관종 Angiomas,209
고함-스타우트 병, 고통,고통,209
고함-스타우트 병, 흔들리는 치아,흔들리다 치아,209
고함-스타우트 병, 얼굴 기형,얼굴 기형,209
고함-스타우트 병, 수막염,수막염,209
고함-스타우트 병, 흉막삼출(Pleural effusion),흉막삼 추다 Pleural effusion,209
고함-스타우트 병, 호흡 곤란,호흡 곤란,209
골드베르그-쉬프린첸 증후군,선천성거대결장증,선천성 거대 결장 증,214
골드베르그-쉬프린첸 증후군, 특징적인 얼굴 모양,특징 적 얼굴 모양,214
골드베르그-쉬프린첸 증후군, 지적장애,지적장애,214
골드베르그-쉬프린첸 증후군, 홍채 결손,홍채 결손,214
골드베르그-쉬프린첸 증후군, 선천성심장결손,선천성 심장 결손,214
고린증후군,모반상 기저세포암종,모 반상 기 저 세포 암 종,199
고린증후군, 치원성 각질화낭종,치 원성 각질 화 낭종,199
골츠 증후군,피부 위축 및 선형 색소침착,피부 위축 및 선형 색소 침착,217
골츠 증후군, 유두종,유두종,217
골츠 증후군, 손발가락형성이상,손발가락 형성 이상,217
골츠 증후군, 홍채 결손증,홍채 결손 증,217
골츠 증후군, 지능저하,지능 저하,217
근긴장이상을 동반한 고망간혈증,근긴장이상이나 떨림,근 긴장 이상 떨리다,232
근긴장이상을 동반한 고망간혈증, 어눌한 발음,어눌하다 발음,232
근긴장이상을 동반한 고망간혈증, 파킨슨 증상 등,파킨슨 증상 등,232
데니스-드래쉬 증후군,신증후군,신 증후군,324
데니스-드래쉬 증후군, 말기 신부전,말기 신부전,324
데니스-드래쉬 증후군, 윌름 종양,윌름 종양,324
데니스-드래쉬 증후군, 성별이 불분명한 성기,성별 불분명 성기,324
데니스-드래쉬 증후군, 생식샘 종양,생식샘 종양,324
동형접합 가족성 고콜레스테롤혈증,조기에 발생하는 관상동맥 및 심혈관계 이상,조기 발생 하다 관상동맥 및 심혈관계 이상,331
동형접합 가족성 고콜레스테롤혈증, 황색종(xanthomas),황색종 xanthomas,331
동형접합 가족성 고콜레스테롤혈증, 각막 환(corneal arcus),각막 환 corneal arcus,331
두개골간단형성부전증,머리와 얼굴 부위의 구별 가능한 이상,머리 얼굴 부위 구별 가능하다 이상,332
두개골간단형성부전증, 뇌신경 장애,뇌신경 장애,332
두개골간단형성부전증, 장 뼈의 기형,장 뼈 기형,332
랑거 기드온 증후군,지능저하,지능 저하,350
랑거 기드온 증후군, 피부의 과도한 주름,피부 과도 주름,350
랑거 기드온 증후군, 뼈돌출증,뼈 돌출 증,350
랑거 기드온 증후군, 성장장애,성장 장애,350
랑거 기드온 증후군, 난청,난청,350
랑거 기드온 증후군, 소두증,소 두 증,350
랑거 기드온 증후군, 수족의 변형,수족 변형,350
랑거 기드온 증후군, 발달장애,발달장애,350
레베르 유전성 시신경병증,통증 없는 양안성 중심시력 저하,통증 없다 양 안성 중심 시력 저하,356
로이-디에츠 증후군,대동맥류,대동맥 류,365
로이-디에츠 증후군, 대동맥박리,대동맥 박다,365
로이-디에츠 증후군, 골격계 이상,골격계 이상,365
로이-디에츠 증후군, 구개열,구개열,365
로이-디에츠 증후군, 얇은 피부,얇다 피부,365
로이-디에츠 증후군, 쉽게 멍듦,쉬다 멍 들다,365
로이-디에츠 증후군, 알레르기,알레르기,365
로이-디에츠 증후군, 천식,천식,365
로이-디에츠 증후군, 염증성 장질환,염증 성 장 질환,365
로하드 증후군,만 1세 이후 나타나는 급격한 체중 증가,만 1 세 이후 나타나다 급격하다 체중 증가,367
로하드 증후군, 호흡 장애(폐포저환기,호흡 장애 폐포 저 환기,367
로하드 증후군, 수면무호흡),수면 무 호흡,367
로하드 증후군, 체온 조절 장애,체온 조절 장애,367
로하드 증후군, 설사,설사,367
로하드 증후군, 변비,변비,367
로하드 증후군, 심장 박동수의 이상,심장 박동수 이상,367
로하드 증후군, 뇌하수체 기능저하,뇌하수체 기능 저하,367
로하드 증후군, 사춘기지연,사춘기지연,367
로하드 증후군, 신경내분비 종양,신경 내분비 종양,367
로하드 증후군, 일부에서 발작,일부 발작,367
로하드 증후군, 발달 장애,발달 장애,367
메이어-고린 증후군,자궁내 성장 지연,자궁 내 성장 지연,399
메이어-고린 증후군, 저신장슬개골 결여 또는 저형성을 포함한 골격계 이상소이증,저 신장 슬개골 결여 또는 저 형성 포함 골격계 이상 소이 증,399
메이어-고린 증후군, 소두증,소 두 증,399
메이어-고린 증후군, 낮게 위치한 귀,낮다 위치 귀,399
메이어-고린 증후군, 외이도 형성 이상작은 입과 하악 구조잠복 고환,외다 형성 이상 작다 입 하악 구조 잠복 고환,399
메이어-고린 증후군, 대음순 저형성증식이 장애,대음순 저 형성 증식 장애,399
메이어-고린 증후군, 폐기종,폐기종,399
메이어-고린 증후군, 호흡 곤란,호흡 곤란,399
모왓-윌슨 증후군,특징적인 얼굴 형태: 사각형 형태의 얼굴,특징 적 얼굴 형태 사각형 형태 얼굴,417
모왓-윌슨 증후군, 양안 과다 격리증,양안 과 격리 증,417
모왓-윌슨 증후군, 넓은 콧등과 둥근 콧대,넓다 콧등 둥글다 콧대,417
모왓-윌슨 증후군, 뾰족한 턱,뾰족 한 턱,417
모왓-윌슨 증후군, 진한 눈썹,진하다 눈썹,417
모왓-윌슨 증후군, 위로 올라간 귓볼소두증,위로 올라가다 귓볼 소두 증,417
모왓-윌슨 증후군, 정신 지체,정신 지체,417
모왓-윌슨 증후군, 특히 언어 장애,특히 언어 장애,417
모왓-윌슨 증후군, 발달 장애,발달 장애,417
모왓-윌슨 증후군, 발작,발작,417
모왓-윌슨 증후군, 저신장만성 변비남아의 경우 요도하열증소안구증,저 신 장만성 변비 남아 경우 요도하열 증 소 안구 증,417
모왓-윌슨 증후군, 선천성 심기형,선천성 심기 형,417
무홍채증-소뇌성운동실조-정신박약,근육긴장저하,근육 긴장 저하,427
무홍채증-소뇌성운동실조-정신박약, 발달지연,발달 지연,427
무홍채증-소뇌성운동실조-정신박약, 부분적 무홍채증,부분 적 무 홍채 증,427
무홍채증-소뇌성운동실조-정신박약, 소뇌성 보행,소뇌 성 보행,427
무홍채증-소뇌성운동실조-정신박약, 소뇌조화운동불능,소뇌 조화 운동 불능,427
무홍채증-소뇌성운동실조-정신박약, 음절언어,음절 언어,427
무홍채증-소뇌성운동실조-정신박약, 정신지연,정신 지연,427
우발적 운동실조 유형 2,구토,구토,716
우발적 운동실조 유형 2, 두통,두통,716
우발적 운동실조 유형 2, 어지럼증,어지럼증,716
우발적 운동실조 유형 2, 눈운동이상 (안진),눈 운동 이상 안다,716
우발적 운동실조 유형 2, 경련,경련,716
우발적 운동실조 유형 2, 고혈압,고혈압,716
빌트-호그-두베증후군,피부 종양,피부 종양,506
빌트-호그-두베증후군, 폐 낭종,폐 낭종,506
빌트-호그-두베증후군, 기흉,기흉,506
빌트-호그-두베증후군, 신장 종양,신장 종양,506
빌트-호그-두베증후군, 섬유털집종,섬유 털집 종,506
빌트-호그-두베증후군, 털원반종(Trichodiscomas),털 원반 종 Trichodiscomas,506
빌트-호그-두베증후군, 쥐젖(skin tag)으로 알려진 종양(Acrochordons),쥐젖 skin tag 알려지다 종양 Acrochordons,506
빌트-호그-두베증후군, 호산성세포종(Oncocytoma),호 산성 세포 종 Oncocytoma,506
빌트-호그-두베증후군, 협색소성 신장 세포 악성 종양(Chromophobe renal cell carcinoma),협 색소 성 신장 세포 악성 종양 Chromophobe renal cell carcinoma,506
빌트-호그-두베증후군, 신장 호산성세포종(Renal oncocytoma),신장 호 산성 세포 종 Renal oncocytoma,506
빌트-호그-두베증후군, 결장 용종(폴립),결장 용종 폴립,506
빌트-호그-두베증후군, 구강 구진증,구강 구진 증,506
빌트-호그-두베증후군, 혈관지방종,혈관 지방종,506
빌트-호그-두베증후군, 부갑상샘종,부갑상샘 종,506
빌트-호그-두베증후군, 결합 조직 모반,결합 조직 모반,506
볼프람 증후군,당뇨,당뇨,479
볼프람 증후군, 반복적인 복통 및 췌장 결석,반복 적 복통 및 췌장 결석,479
선천성 염화물 설사,출생시부터 지속되는 만성 물설사,출생 시 지속 되다 만성 물 설사,567
선천성 염화물 설사, 대사성 알칼리증,대사성 알칼리 증,567
선천성 염화물 설사, 출생 전 태아기의 장관의 확장과 양수 과다증,출생 전 태 아기 장관 확장 양수 과 증,567
선천성 무거핵구성 혈소판감소증,혈소판감소증(80-99%),혈소판 감소 증 80-99% ),553
선천성 무거핵구성 혈소판감소증, 척추의 비정상적인 형태,척추 비정상 적 형태,553
선천성 무거핵구성 혈소판감소증, 빈혈,빈혈,553
선천성 무거핵구성 혈소판감소증, 거친 얼굴 생김새,거치다 얼굴 생김새,553
선천성 무거핵구성 혈소판감소증, 선천성 멜라닌세포 모반,선천성 멜라닌 세포 모반,553
선천성 무거핵구성 혈소판감소증, 척추 측만증,척추 측만증,553
선천성 무거핵구성 혈소판감소증, 짧은 목,짧다 목,553
선천성 무거핵구성 혈소판감소증, 저신장(30-79%),저 신장 30-79% ),553
선천성 무거핵구성 혈소판감소증, 비정상적인 심장 중격 형태,비정상 적 심장 중격 형태,553
선천성 무거핵구성 혈소판감소증, 두개골의 골화 감소(5-29%),두개골 골 화 감소 5-29% ),553
선천성 중추성 무호흡증,호흡 조절의 장애 (저환기),호흡 조절 장애 저 환기,572
슈바크만-다이아몬드 증후군,지방변증,지방 변증,609
슈바크만-다이아몬드 증후군, 성장장애,성장 장애,609
슈바크만-다이아몬드 증후군, 저신장,저 신장,609
슈바크만-다이아몬드 증후군, 잦은 감염,잦다 감염,609
슈바크만-다이아몬드 증후군, 골격계 이상,골격계 이상,609
아동기 저수초형성 운동실조,운동실조,운동 실조,646
아동기 저수초형성 운동실조, 근강직,근 강직,646
아동기 저수초형성 운동실조, 시신경 위축,시신경 위축,646
아동기 저수초형성 운동실조, 뇌병증,뇌 병증,646
아이펙스 증후군,설사,설사,659
아이펙스 증후군, 장마비,장마 비,659
아이펙스 증후군, 성장 장애,성장 장애,659
아이펙스 증후군, 당뇨,당뇨,659
아이펙스 증후군, 갑상선염으로 인한 갑상선 기능 저하증 또는 항진증,갑상선 염 인하다 갑상선 기능 저하 증 또는 항진 증,659
아이펙스 증후군, 피부 발진,피부 발진,659
아이펙스 증후군, 건선,건선,659
아이펙스 증후군, 아토피 피부염 및 습진,아토피 피부염 및 습진,659
아이펙스 증후군, 혈소판 감소증,혈소판 감소 증,659
아이펙스 증후군, 용형성 빈열,용형 성 빈열,659
아이펙스 증후군, 중성구 감소증,중성 구 감소 증,659
아이펙스 증후군, 자가면역에 의한 폐렴,자가면역 의하다 폐렴,659
아이펙스 증후군, 간염,간염,659
아이펙스 증후군, 신염,신 염,659
안와 림프관종,안구돌출,안구 돌출,664
안와 림프관종, 압박성 시신경병증,압박 성 시신경 병증,664
안와 림프관종, 눈꺼풀처짐,눈꺼풀 처지다,664
안와 림프관종, 안구 운동성이 감소,안구 운동 성 감소,664
알란-헌든-더들리 증후군,심한 지적장애,심하다 지적장애,666
알란-헌든-더들리 증후군, 말더듬증,말더듬증,666
알란-헌든-더들리 증후군, 근육긴장저하증,근육 긴장 저하 증,666
알란-헌든-더들리 증후군, 강직성 하반신 마비,강직 성 하반신 마비,666
알란-헌든-더들리 증후군, 반사이상항진,반사 이상 항진,666
알란-헌든-더들리 증후군, 무정위운동,무 정위 운동,666
알렉산더 병,성장지연,성 장지연,667
알렉산더 병, 거두증,거두 증,667
알렉산더 병, 경련,경련,667
알렉산더 병, 근육강직,근육 강직,667
알렉산더 병, 사지 마비,사지 마비,667
알렉산더 병, 언어장애,언어장애,667
알렉산더 병, 호흡곤란,호흡 곤란,667
알렉산더 병, 연하곤란,연하곤란,667
알렉산더 병, 시각장애,시각장애,667
알렉산더 병, 지적능력의 손상,지적 능력 손상,667
앤틀리-빅슬러 증후군,관절구축,관절 구축,674
앤틀리-빅슬러 증후군, 납작머리증(단두증),납작 머리 증 단두 증,674
앤틀리-빅슬러 증후군, 두개골조기유합증,두개골 조 기유 합증,674
앤틀리-빅슬러 증후군, 상완요골융합증,상완 요골 융합 증,674
앤틀리-빅슬러 증후군, 얼굴중간 형성저하증,얼굴 중간 형성 저하 증,674
앤틀리-빅슬러 증후군, 활모양 대퇴골,활 모양 대퇴골,674
앤틀리-빅슬러 증후군, 후비공,후비다 공,674
에드하임-체스터 병,각 장기 부전,각 장기 부전,682
엠마누엘 증후군,다양한 선청성 기형 및 근 긴장 저하,다양하다 선청 성 기형 및 근 긴장 저하,688
엠마누엘 증후군, 섭식장애,섭식장애,688
엠마누엘 증후군, 성장장애가 발생하며 성장하면서 심한 발달지연 및 지능장애를 보임,성 장장 애가 발생 하다 성장하다 심하다 발달 지연 및 지능 장애 보임,688
10장완 말단 삼염색체 증후군,성장지연,성 장지연,11
10장완 말단 삼염색체 증후군, 근육긴장저하,근육 긴장 저하,11
10장완 말단 삼염색체 증후군, 지능저하,지능 저하,11
10장완 말단 삼염색체 증후군, 정신운동 지체,정신 운동 지체,11
10장완 말단 삼염색체 증후군, 머리나 안면의 기형,머리 안면 기형,11
10장완 말단 삼염색체 증후군, 손이나 발의 기형,손 발의 기형,11
10장완 말단 삼염색체 증후군, 골격계 이상,골격계 이상,11
10장완 말단 삼염색체 증후군, 심장기형,심장 기형,11
10장완 말단 삼염색체 증후군, 신장기형 등,신 장기형 등,11
10번 염색체 장완 말단부의 단일염색체증,얼굴 기형,얼굴 기형,8
10번 염색체 장완 말단부의 단일염색체증, 근육 긴장도 저하,근육 긴장도 저하,8
10번 염색체 장완 말단부의 단일염색체증, 척추측만증,척추측만증,8
10번 염색체 장완 말단부의 단일염색체증, 선천 심장 기형,선천 심장 기형,8
10번 염색체 장완 말단부의 단일염색체증, 생식기 이상,생식기 이상,8
10번 염색체 장완 말단부의 단일염색체증, 방광 팽창,방광 팽창,8
