_id,research_title,research_url,research_author,research_institution,research_name,research_volumn,research_year,research_language,research_subject,research_type,research_page
65e6f0f37436f20b02adf07d,희귀질환 청소년 대상 디지털 리터러시 교육의 접근 방안,https://www.riss.kr/link?id=A108310986,고지연(Jiyon Go) ;  이정훈(Jeonghun Lee) ;  조정원(Jungwon Cho),한국컴퓨터교육학회(The Korean Association of Computer Education),한국컴퓨터교육학회 학술발표대회논문집,Vol.26 No.2 [2022],2022,Korean,희귀질환 청소년 ;  소프트웨어교육 ;  컴퓨팅 사고력 ;  디지털 리터러시,37,학술저널
65e6f0f77436f20b02adf07e,만성‧희귀난치성질환 아동을 위한 문화예술교육의 효과 = he Effect of Arts and Culture Education for Children with Chronic Rare and Incurable Diseases,https://www.riss.kr/link?id=A103578284,노자은 (중앙대학교) ;  김현주 (중앙대학교),한국지체.중복.건강장애교육학회,"지체.중복.건강장애연구(Korean Journal of Physical, Multiple, & Health Disabilities)",Vol.60 No.2 [2017],2017,Korean,만성·희귀난치성질환 ;  담도폐쇄 ;  제1형당뇨 ;  문화예술교육 ;  자기개념 ;  스트레스대처 ;  공격성 ;  우울 ;  가족관계 ;  친구관계 ;  chronic rare and incurable disease ;  biliary atresia ;  type 1 diabetes ;  art and culture education ;  self concept ;  deal with stress ;  aggression ;  depression ;  family relations ;  friend relations,KCI등재,학술저널
65e6f0fa7436f20b02adf07f,환자 증상정보 기반 희귀질환 조기 발견 보조시스템 = Early Detection Assistance System for Rare Diseases based on Patient’s Symptom Information,https://www.riss.kr/link?id=A108560134,최재민(Jae-Min Choi) ;  김선용(Sun-Yong Kim),한국전자통신학회,한국전자통신학회 논문지(The Journal of The Korea Institute of Electronic Communication Sciences),Vol.18 No.2 [2023],2023,-,희귀 질환 발견 ;  증상 정보 ;  웹 크롤링 ;  텍스트 마이닝 ;  코엔엘파이 ;  Rare Diseases Detection ;  Symptom Information ;  Web Crawling ;  Text Mining ;  KoNLPy,567,KCI등재
65e6f0fe7436f20b02adf080,희귀질환자와 보호자의 미충족 의료수요에 대한 탐색적 분석 = An Exploratory Analysis of Unmet Healthcare Needs Among Patients with Rare Diseases and Their Caregivers,https://www.riss.kr/link?id=A108194080,최은진 (한국보건사회연구원) ;  박실비아 (한국보건사회연구원) ;  채수미 (한국보건사회연구원) ;  옹열여 (한국보건사회연구원) ;  강혜리 (한국보건사회연구원) ;  문석준 (한국보건사회연구원),한국보건사회연구원,保健社會硏究(Health and Social Welfare Review),Vol.42 No.2 [2022],2022,Korean,희귀질환자 ;  보호자 ;  미충족 의료수요 ;  장애 ;  Rare Diseases ;  Caregiver ;  Unmet Heatlhcare Needs ;  Disability,KCI등재,학술저널
65e6f1027436f20b02adf081,한국 희귀난치성질환 의료보장정책의 보장성 연구 - 혈우병 사례를 중심으로 - = An Analysis of the Coverage of Medical Security Policy for Rare Disease in Korea. - Focusing in Hemophilia Case,https://www.riss.kr/link?id=A101590555,김철주 (서울디지털대학교) ;  이병렬 (한중대학교) ;  홍성대 (한국보건복지정보개발원),국회입법조사처,입법과 정책(Legislation and Policy Studies),Vol.3 No.1 [2011],2011,Korean,rare disease ;  hemophilia ;  accessibility ;  generosity ;  coverage ;  희귀난치성질환 ;  혈우병 ;  관대성 ;  수급자격 ;  접근성,학술저널,125-152(28쪽)
65e6f1057436f20b02adf082,가족놀이치료를 통한 희귀난치성질환 환우 가족의 상호작용 변화연구: 루게릭질환 환우가족을 중심으로 = Study of interaction changes through family playing therapy among family members with chronically ill patient: focusing on family of Lou Gehrig’s disease patient,https://www.riss.kr/link?id=A103798836,박재훈 (명지대학교) ;  선우현 (명지대학교),한국기독교상담심리학회,한국기독교상담학회지(Korean Journal of Christian Counseling),Vol.23 No.3 [2012],2012,Korean,가족놀이치료 ;  희귀난치성질환 ;  가족상호작용 ;  루게릭질환 ;  family playing therapy ;  chronically ill patient ;  family interaction ;  Amyotrophic lateral sclerosis(ALS),KCI등재,학술저널
65e6f1097436f20b02adf083,상급종합병원과 희귀난치성질환 전문병원의 희귀의약품 사용현황,https://www.riss.kr/link?id=A101956813,최경숙 (분당서울대학교병원) ;  정영미 (분당서울대학교병원) ;  김유정 (이화여자대학교) ;  김윤희 (이화여자대학교) ;  구현민 (한국희귀의약품센터) ;  이병구 (이화여자대학교) ;  이은숙 (분당서울대학교병원) ;  이정연 (이화여자대학교),한국임상약학회,한국임상약학회지(Korean Journal of Clinical Pharmacy),Vol.26 No.2 [2016],2016,Korean,Orphan drug ;  rare disease ;  drug information,KCI등재,학술저널
65e6f10c7436f20b02adf084,희귀난치성질환 대책에 대한 소고 - 일본의 난병환자에 대한 의료 등에 관한 법률안을 중심으로 -,https://www.riss.kr/link?id=A100100439,박정일 ;  원종석,원광대학교 법학연구소,의생명과학과 법,Vol.11 No.- [2014],2014,Korean,희귀난치성질환 ;  오편드러그 ;  의료비지원 ;  스몬 ;  갱생의료 ;  Rare Incurable or Intractable Disease ;  Orphan Drug ;  Fundholding ;  Subacute Myelo-Optico-Neuropathy ;  Rehabilitation for the Handicapped),KCI등재,학술저널
65e6f1107436f20b02adf085,희귀난치성질환 대책에 대한 소고  :  일본의 난병환자에 대한 의료 등에 관한 법률안을 중심으로 = Concerning on measures for rare incurable or intractable diseases -Based on the Japanese Legislative Bill of Rare Incurable or Intractable Disease patients,https://www.riss.kr/link?id=A100317354,박정일(Park Jeong Il) ;  원종석(Won Jong Seok),원광대학교 법학연구소,의생명과학과 법,Vol.11 No.- [2014],2014,-,희귀난치성질환 ;  오편드러그 ;  의료비지원 ;  스몬 ;  갱생의료 ;  Rare Incurable or Intractable Disease ;  Orphan Drug ;  Fundholding ;  Subacute Myelo-Optico-Neuropathy ;  Rehabilitation for the Handicapped),360,KCI등재
65e6f1147436f20b02adf086,산업재해로서 반도체 공장 노동자 희귀질환의 법적 인정 : 대항적 지식 생산과 승인의 법사회학 = Legal Recognition of Rare Diseases of Workers in Semiconductor Factories as Industrial Accidents : Sociology of Law of the Production and Approval of Oppositional Knowledge,https://www.riss.kr/link?id=A105603812,권준희 ( Kwon Junhee ),서울대학교 BK21 법학연구단 공익인권법연구센터,공익과 인권(N/A),Vol.18 No.- [2018],2018,Korean,산업재해보상보험법 ;  업무상 질병 ;  입증책임 ;  역학조사 ;  상당인과관계 ;  반도체 노동자 ;  도버트 기준 ;  역학적 인과관계 ;  법적 인과관계 ;  법사회학 ;  Industrial Accident Compensation Insurance Act ;  Work-related disease ;  Occupational disease ;  Burden of proof ;  Investigation of Epidemiology ;  Proximate causal relation ;  Semiconductor workers ;  Daubert standard ;  Epidemiological causation ;  Legal causation ;  Law of Sociology,학술저널,3-64(62쪽)
65e6f1197436f20b02adf087,"우리 사회의 사랑과 관심속에서 희귀난치성질환, 희망을 그린다",https://www.riss.kr/link?id=A101405317,대한가족보건복지협회,인구보건복지협회,가정의벗,Vol.37 No.4 [2004],2004,Korean,학술저널,28-29(2쪽),ScienceON
65e6f11c7436f20b02adf088,"희귀질환관리법 [시행 2019. 4. 30.] [법률 제16410호, 2019. 4. 30., 일부개정] 외",https://www.riss.kr/link?id=A106246809,편집부(편집자),고시계사,考試界,Vol.64 No.6 [2019],2019,Korean,학술저널,http://www.gosi-law.com,201-205(5쪽)
65e6f1207436f20b02adf089,자기자비를 통한 희귀질환 환아모의 외상 후 성장 과정에 대한 내러티브 탐구,https://www.riss.kr/link?id=A107787453,"유수안(You, Su-an) ;  오인수(Oh, In-soo)","이화여자대학교 교육과학연구소(Educational Research Institute College of Education, Ewha Womans University)",교육과학연구(Journal of educational studies ),Vol.52 No.2 [2021],2021,Korean,희귀질환 ;  자기자비 ;  내러티브 탐구 ;  외상 후 성장 ;  Rare diseases ;  self-compassion ;  narrative inquiry ;  post-traumatic growth,KCI등재,학술저널
65e6f1247436f20b02adf08a,상급종합병원과 희귀난치성질환 전문병원의 희귀의약품 사용현황,https://www.riss.kr/link?id=A102137735,최경숙 ;  정영미 ;  김유정 ;  김윤희 ;  구현민 ;  이병구 ;  이은숙 ;  이정연,한국임상약학회,한국임상약학회지(Korean Journal of Clinical Pharmacy),Vol.26 No.3 [2016],2016,Korean,KCI등재,학술저널,267-267(1쪽)
65e6f1277436f20b02adf08b,진행성 희귀난치성질환 “파브리병” 자녀를 돌보는 어머니의 경험,https://www.riss.kr/link?id=A107162227,최은지,한국사회복지학회,한국사회복지학회 학술대회 자료집,Vol.2020 No.10 [2020],2020,Korean,파브리 ;  파브리병 ;  희귀병 ;  희귀난치성질환 ;  질적연구 ;  정성적연구,3903,학술저널
65e6f12b7436f20b02adf08c,국내 희귀의약품의 현황 및 과제 - 희귀질환에 대한 의약품 공급을 중심으로 -,https://www.riss.kr/link?id=A75255988,김희은 ;  곽혜선,한국임상약학회,한국임상약학회지(Korean Journal of Clinical Pharmacy),Vol.16 No.2 [2006],2006,Korean,Orphan Drugs ;  Korea Orphan Drug Center ;  Rare Disease,KCI등재,학술저널
65e6f12e7436f20b02adf08d,희귀난치성질환자 지원 및 관리정책 방향,https://www.riss.kr/link?id=A108356513,염민섭,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.3 No.6 [2009],2009,-,null,학술저널,6-10(5쪽)
65e6f1327436f20b02adf08e,희귀난치질환자를 위한 나라는 없는가,https://www.riss.kr/link?id=A108356515,김창보,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.3 No.6 [2009],2009,-,null,학술저널,19-23(5쪽)
65e6f1367436f20b02adf08f,희귀난치성질환 본인부담율 인하 및 등록제 시행,https://www.riss.kr/link?id=A108356539,김명화,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.3 No.4 [2009],2009,-,null,학술저널,35-36(2쪽)
65e6f1397436f20b02adf090,희귀난치성질환자 지원정책의 실태 분석: 지방자치단체에서의 정책집행을 중심으로,https://www.riss.kr/link?id=A60161785,이현희,한국정책학회(The Korean Association for Policy Studies),한국정책학회 춘계학술발표논문집(N/A),Vol.2012 No.- [2012],2012,Korean,350.05,학술저널,459-482(24쪽)
65e6f13f7436f20b02adf091,희귀난치성질환 관리를 위한 제도 발전,https://www.riss.kr/link?id=A108382812,임준,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.10 No.4 [2016],2016,-,500,학술저널,16-21(6쪽)
65e6f1437436f20b02adf092,희귀질환 건강보험 보장확대 방안 연구,https://www.riss.kr/link?id=A108382815,고정애,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.10 No.4 [2016],2016,-,500,학술저널,38-47(10쪽)
65e6f1477436f20b02adf093,희귀질환 정부지원사업 현황 및 관리방안,https://www.riss.kr/link?id=A108382811,박현영,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.10 No.4 [2016],2016,-,500,학술저널,7-15(9쪽)
65e6f14a7436f20b02adf094,희귀질환 관리 이제부터 시작이다,https://www.riss.kr/link?id=A108382810,이윤태,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.10 No.4 [2016],2016,-,500,학술저널,5-6(2쪽)
65e6f14e7436f20b02adf095,희귀난치질환의 유전적 이해 및 건강보험 정책 반영시 고려사항,https://www.riss.kr/link?id=A108382813,이진성,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.10 No.4 [2016],2016,-,500,학술저널,22-30(9쪽)
65e6f1517436f20b02adf096,[Start-up] 희귀질환과 스타트업_“기다릴 수 없었다” 남편이 창업한 이유,https://www.riss.kr/link?id=A108865591,김미란,더스쿠프,더스쿠프,Vol.- No.416 [2020],2020,Korean,320,학술저널,42-43(2쪽)
65e6f1557436f20b02adf097,[공감과 동행] 희귀난치성질환 ‘엔젤만 증후군’ 환우 가족 남궁명희 씨,https://www.riss.kr/link?id=A107181487,이빛나,새가정사,새가정(Christian home),Vol.739 No.- [2021],2021,Korean,학술저널,30-33(4쪽),DBpia
65e6f1597436f20b02adf098,공급자 시각에서의 희귀질환 치료제 접근성 개선방안 = Methods on Improvement of Accessibility for Rare Disease Treatments: Providers’ Perspective,https://www.riss.kr/link?id=A105259010,이지연 ((주)젠자임코리아) ;  조영미 ((주)젠자임코리아) ;  김성태 (김 장 법률사무소) ;  김성주 (김 장 법률사무소),한국보건의료기술평가학회,보건의료기술평가(The Journal of Health Technology Assessment),Vol.2 No.1 [2014],2014,Korean,Orphan drug · Rare disease · Accessibility,학술저널,35-42(8쪽)
65e6f15c7436f20b02adf099,심평원 빅데이터를 이용한 희귀난치성간질환 임상연구 경험,https://www.riss.kr/link?id=A108507124,정숙향 ( Sook-hyang Jeong ),대한간학회,임상연구방법론워크숍(N/A),Vol.2016 No.1 [2016],2016,-,rare liver disease ;  big data ;  National Health Insurance claims data ;  primary biliary cirrhosis ;  Budd-Chiari syndrome,500,학술저널
65e6f1607436f20b02adf09a,바이오메디컬 네트워크의 계층구조를 활용한 희귀질환 약물 예측 = Prediction for orphan drugs using the hierarchical structure of biomedical networks,https://www.riss.kr/link?id=A105476398,조준희(Junhee Cho) ;  남용현(Yonghyun Nam) ;  신현정(Hyunjung Shin),한국정보과학회,한국정보과학회 학술발표논문집,Vol.2018 No.6 [2018],2018,Korean,학술저널,http://www.kiise.or.kr,735-737(3쪽)
65e6f1657436f20b02adf09b,질병관리청 용역과제 보고: 희귀질환 인식개선을 위한 전략 개발 연구,https://www.riss.kr/link?id=A108938004,이현주,한국모자보건학회,한국모자보건학회 학술대회 연제집(N/A),Vol.2023 No.2 [2023],2023,-,500,학술저널,75-87(13쪽)
65e6f1697436f20b02adf09c,환자 입장에서 바라본 희귀질환 제도(정책)의 발전 방향,https://www.riss.kr/link?id=A108382814,신현민,건강보험심사평가원 심사평가연구소,HIRA 정책동향(HIRA Policy Brief),Vol.10 No.4 [2016],2016,-,500,학술저널,31-36(6쪽)
65e6f16c7436f20b02adf09d,NGS를 이용한 유전체 연구-드노보 어셈블리 및 희귀질환/암 유전체,https://www.riss.kr/link?id=A60166021,김남신 ;  정원형,생화학분자생물학회(구 한국생화학분자생물학회),생화학분자생물학회 소식 (KSBMB news),Vol.32 No.2 [2012],2012,Korean,472.19,학술저널,http://www.biochem.or.kr
65e6f1707436f20b02adf09e,급성충수염 진단하 응급개복시 충수돌기에 발생한 희귀질환에 대한 고찰,https://www.riss.kr/link?id=A60236124,우충아(Choong-Ar Woo) ;  김진영(Jin-Young Kim),대한외과학회,Annals of Surgical Treatment and Research(ASRT)(외과학회지),Vol.50 No.2 [1996],1996,Korean,"KCI등재,SCOPUS,SCIE",학술저널,http://surgery.or.kr
65e6f1747436f20b02adf09f,웹 크롤링 및 텍스트 마이닝을 활용한 희귀질환 조기 발견 보조시스템,https://www.riss.kr/link?id=A108219659,최재민(Jaemin Choi) ;  김동현(Donghyun Kim) ;  강민지(Minji Kang) ;  김선용(Sunyong Kim),한국통신학회,한국통신학회 학술대회논문집,Vol.2022 No.6 [2022],2022,Korean,567,학술저널,http://www.kics.or.kr
65e6f1777436f20b02adf0a0,국내희귀질환의 임상적 지침 : 자가면역성 간염,https://www.riss.kr/link?id=A75559136,이진호,대한간학회(The Korean Association for the Study of the Liver),Clinical and Molecular Hepatology(대한간학회지)(Clinical and Molecular Hepatology),Vol.9 No.2(S) [2003],2003,-,자가면역성 간염,510,"SCOPUS,KCI등재,SCIE"
65e6f17b7436f20b02adf0a1,국내희귀질환의 임상적 지침 : 윌슨병,https://www.riss.kr/link?id=A75557342,김연수,대한간학회(The Korean Association for the Study of the Liver),Clinical and Molecular Hepatology(대한간학회지)(Clinical and Molecular Hepatology),Vol.9 No.2(S) [2003],2003,-,윌슨병,510,"SCOPUS,KCI등재,SCIE"
65e6f17e7436f20b02adf0a2,국내희귀질환의 임상적 지침 : 원발성 담즙성 간경변증 = Primary Biliary Cirrhosis,https://www.riss.kr/link?id=A75560617,조세현,대한간학회(The Korean Association for the Study of the Liver),Clinical and Molecular Hepatology(대한간학회지)(Clinical and Molecular Hepatology),Vol.9 No.2(S) [2003],2003,-,원발성 담즙성 간경변증,510,"SCOPUS,KCI등재,SCIE"
65e6f1827436f20b02adf0a3,희귀·난치성질환자 가족의 가족적응에 영향을 주는 요인 분석 = The Factors Affecting Family Adaptation in Families of patients with Rare Diseases,https://www.riss.kr/link?id=A103982262,최인희 (서울아산병원(울산대부설)) ;  신현기 (단국대학교),한국지체.중복.건강장애교육학회,"지체.중복.건강장애연구(Korean Journal of Physical, Multiple, & Health Disabilities)",Vol.58 No.3 [2015],2015,Korean,희귀·난치성질환 ;  가족적응 ;  가족부담감 ;  가족탄력성 ;  자조모임 ;  rare disease ;  family adaptation ;  family burden ;  family resilience ;  patient support group,KCI등재,학술저널
65e6f1867436f20b02adf0a4,희귀난치성 질환 자녀를 돌보는 어머니의 삶의 경험에 대한 내러티브 탐구 = Narrative Inquiry on Life Experiences of Mothers of Children with Rare Diseases,https://www.riss.kr/link?id=A106096762,이진아 (단국대학교) ;  서미아 (단국대학교),한국가족치료학회,가족과 가족치료(Family and Family Therapy),Vol.27 No.1 [2019],2019,Korean,희귀난치성 질환 ;  혈우병 ;  어머니의 삶의 경험 ;  내러티브탐구 ;  rare disease ;  hemophilia ;  life experiences of mothers ;  narrative inquiry,KCI등재,학술저널
65e6f18b7436f20b02adf0a5,"죽음이 예견되는 희귀난치성 질환자의 생존과정 = The Living Process of Patients with Predictable Death, Rare and Incurable Disease",https://www.riss.kr/link?id=A100401464,강성례(Kang Sung Ye),서강대학교 생명문화연구소,생명연구(Studies on Life and Culture),Vol.33 No.- [2014],2014,-,생명윤리 ;  의료윤리 ;  희귀난치성 ;  생존과정 ;  Living ;  Process ;  Rare ;  Incurable,200,KCI등재
65e6f18e7436f20b02adf0a6,희귀·난치성질환인 선천성 혈관기형 진단을 받은 학생과 부모의 경험과 요구 = Students Diagnosed with Congenital Vascular Malformation as a Form of Rare Diseases and Their Parents’ Experiences and Needs,https://www.riss.kr/link?id=A103670936,이효정 (동국대학교) ;  이경미 (동국대학교),국립특수교육원,특수교육연구(Journal of Special Education),Vol.21 No.2 [2014],2014,Korean,rare disease ;  physical disabilities ;  health impairment ;  self-help support group ;  family support ;  collaboration ;  희귀·난치성질환 ;  희귀질환 ;  지체장애 ;  건강장애 ;  자조모임 ;  가족지원 ;  협력,KCI등재,학술저널
65e6f1927436f20b02adf0a7,희귀난치성 질환이 있는 자녀를 양육하는 어머니의 셰어런팅 현황과 양육지원 요구,https://www.riss.kr/link?id=A108151490,이보람(Boram Lee),한국아동학회,아동학회지(Korean Journal of Child Studies),Vol.43 No.2 [2022],2022,Korean,sharenting ;  social media use ;  parenting support needs ;  children with rare diseases ;  ICTs ;  셰어런팅 ;  소셜미디어 활용 ;  양육지원 요구 ;  희귀난치성질환아동 ;  정보통신기술,598,KCI우수등재
65e6f1967436f20b02adf0a8,희귀난치성 질환자의 경험에 관한 연구,https://www.riss.kr/link?id=A106883852,"한유선(Han, You Sun)",연세대학교 상담코칭지원센터,연세상담코칭연구,Vol.13 No.- [2020],2020,Korean,희귀난치성 질환 ;  래리그래함 ;  목회적 돌봄 ;  치유공동체 ;  Rare Incurable Disease ;  Larrygrahm ;  Pastoral Care ;  Healing Community,334,학술저널
65e6f1997436f20b02adf0a9,"에이즈, 희귀난치성 질환에 포함 -에이즈환자의 진료비 부담 줄어든다-",https://www.riss.kr/link?id=A101400461,김복환,대한에이즈예방협회,레드리본,Vol.58 No.- [2004],2004,Korean,학술저널,20-21(2쪽),ScienceON
65e6f19d7436f20b02adf0aa,"건강 장애 유아의 교육실태와 지원방안: 소아암과 희귀난치성 질환 환아의 어머니 및 원격 교육기관 관계자와 교사들의 사례를 중심으로 = Actual Conditions of Education and Support Methods for Children with Health Impairment: Focusing on the Cases of Mothers of Children with Childhood Cancer and Rare Incurable Disease, and Officials and Teachers from Distance Education Institutions",https://www.riss.kr/link?id=A108904422,김성원 (중앙대학교 유아교육학과) ;  어성연 (중앙대학교),한국영유아교원교육학회,유아교육학논집(Early Childhood Education Research & Review),Vol.27 No.6 [2023],2023,Korean,health impairment ;  childhood cancer ;  rare incurable disease ;  qualitative case study ;  건강 장애 ;  소아암 ;  희귀난치성 질환 ;  질적 사례연구,KCI등재,학술저널
65e6f1a17436f20b02adf0ab,희귀〮 난치질환의 협진을 통한 융복합 의학치료,https://www.riss.kr/link?id=A106517015,김성철,한국인적자원개발학회,한국인적자원개발학회 학술연구발표회 발표논문집,Vol.2019 No.06 [2019],2019,Korean,학술저널,http://www.kahrd.or.kr/,217-241(25쪽)
65e6f1a47436f20b02adf0ac,희귀난치성 질환자 및 보호자들을 위한 정보 공유 웹 어플리케이션 = Information Sharing Web Application for the Rare and Incurable Diseases and Caregivers,https://www.riss.kr/link?id=A106292244,이준희(Jun Hee Lee) ;  유인상(In Sang Yu) ;  김민지(Min Ji Kim) ;  최지원(Ji Won Choi) ;  유철중(Cheol Jung Yoo),한국정보기술학회,Proceedings of KIIT Conference,Vol.2019 No.6 [2019],2019,Korean,Rare and Intractable disease Patients ;  Medical Dictionary ;  Wikipedia ;  Schedule ;  Web ;  Community ;  Application ;  Translation,학술저널,431-433(3쪽)
65e6f1a87436f20b02adf0ad,결체조직질환의 희귀한 피부증상 ( II ) - 다발성 궤양을 보인 피부근염 - = Unusual Cutaneous Manifestions of Connective Tissue Disease II . Multiple Cutaneous Ulcerations in Dermatomyositis,https://www.riss.kr/link?id=A3285482,이창우(Chang Woo Lee) ;  은희철(Hee Chul Eun) ;  김원석(Won Suk Kim),대한피부과학회,대한피부과학회지(Korean journal of dermatology),Vol.23 No.5 [1985],1985,-,Dermatomyositis ;  Cutaneous ulcerations,500,"SCOPUS,KCI등재"
