_id,disease_korean_title,related_diseases,diseases_symptoms,cause_diseases
65dc4545da45daab46acd358,12번 염색체 장완 13 부분의 미세중복,없음,"특징적인 얼굴 생김새, 발달 지연, 지적 장애, 언어 및 학습장애, 성장 장애, 섭식 장애",12번 염색체 장완 13 부분의 미세중복
65dc4547da45daab46acd35a,13번 염색체 장완 21-22 부분의 결손,없음,"저신장, 성장분전, 잦은 호흡기 감염, 십이지장 폐쇄, 사시, 경련, 언어 발달지연, 과잉행동, 지적장애 등",염색체 13의 긴 팔 21-22 부분의 미세 결실에 의하여 발생
65dc454ada45daab46acd35c,17번 염색체 장완 25.1 부분의 중복 증후군,없음,"발달지연, 지적 장애, 저신장, 두개안면 기형과 함께 근골격계, 심장, 비뇨기계 기형 등",17번 염색체 장완의 25.1 부분 중복
65dc454cda45daab46acd35e,18번 염색체 단완의 사염색체증,없음,"유아기의 섭식 곤란, 발달 지연, 지적 장애, 근긴장도의 변화, 독특한 얼굴 특징 및 기타 선천적 결함",18번 염색체 단완의 동염색체
65dc454fda45daab46acd360,19번 염색체 단완 13.3 부분의 중복,없음,"자궁 내 성장 지연, 소두증, 근육 긴장 저하, 발달 지연, 지적 장애, 얼굴생김새 이상, 손발의 이상",19번 염색체의 단완의 13.3 부분의 중복
65dc4551da45daab46acd362,1번 염색체 단완 31-32 부분의 미세결손,없음,비뇨기계 이상을 동반할 수 있는 뇌 기형,1번 염색체 단완의 일부 결손
65dc4554da45daab46acd364,1번 염색체 장완 21.3 부분의 미세결손 증후군,없음,"지능장애, 발달지연, 자폐, 특징적 외모",1q21.3 부위의 유전 물질 결손
65dc4556da45daab46acd366,2번 염색체 장완의 31-33 부분의 미세결손,SATB2 관련 증후군\n(SATB2-associated syndrome)\n2번 염색체 장완 31.2 부분의 결손 증후군\n(2q31.2 deletion syndrome)\n2번 염색체 장완 32 부분의 결손 증후군\n(2q32 deletion syndrome)\n2번 염색체 장완 33.2 부분의 미세결손 증후군\n(2q33.1 microdeletion syndrome)\n2번 염색체 장완 32-33 부분의 결손 증후군\n(2q32-q33 deletion syndrome),"정신지체, 언어장애, 행동장애, 경련, 특징적 외모, 골격계 기형",2번 염색체 장완의 31-33부위의 유전물질 결손
65dc4559da45daab46acd368,2번 염색체 장완 33-37 부분의 중복 증후군,2번 염색체 3부분의 부분 삼염색체증\n(Partial trisomy 2q3),"정신지체, 특징적 외모, 저신장, 비뇨기계 기형",2번 염색체 장완 33-37 부분의 중복
65dc455dda45daab46acd36a,3번 염색체 장완 26 부분의 중복,없음,"지능장애, 발달지연, 저신장, 특징적 얼굴형태이상, 선천성 심질환, 비뇨기계, 골격계 기형",3번 염색체 장완 26 부분의 중복
65dc4560da45daab46acd36c,8번 삼염색체 섞임증,없음,"특징적인 얼굴 생김새, 신기형, 심기형, 골격계 이상",생식세포의 형성 과정 또는 수정이 이루어진 후에 우연히 8번 염색체 비분리가 발생
65dc4562da45daab46acd36e,ADCY5 관련 이상운동증,없음,"무도병양 행동장애, 간대성 근경련, 근이상증, 떨림증",ADCY5 유전자의 돌연변이
65dc4565da45daab46acd370,ATP1A3 관련 뇌병증,없음,"급성발현 근긴장 이상 파킨슨병, 소아 교대성 편마비, 소뇌성 운동실조, 무반사, 요족, 시신경위축, 감각신경난청, 발열-유발 발작성 쇠약 및 뇌증",ATP1A3 유전자 돌연변이
65dc4567da45daab46acd372,베타-프로펠러 단백질 연관 신경변성,없음,"발달지연, 신경변성",WDR45 유전자의 변이
65dc456ada45daab46acd374,CASK 관련 장애,없음,"소두증, 발달장애, 지적장애, 경련, 근긴장 저하, 눈떨림",X 염색체의 CASK 유전자의 돌연변이
65dc456cda45daab46acd376,COL4A3BP 관련 정신 지체,없음,"발달지연, 지적장애, 전신강직간대발작, 다양한 기형",COL4A3BP 유전자 변이
65dc456fda45daab46acd378,CTNNB1 관련 장애,없음,"발달지연, 지적장애, 몸통 저긴장, 강직, 소두증, 시각 이상, 얼굴 생김새 이상",CTNNB1 유전자 변이 또는 결손
65dc4571da45daab46acd37a,FG2 증후군,FLNA related disorder,"정신지체, 발달지연(특히 언어지연), 신생아 근긴장 저하, 특징적인 얼굴형태, 위장관계 기형, 잠복고환, 선천성 심장질환, 심한 변비",FLNA 유전자 돌연변이
65dc4574da45daab46acd37c,GATA2 결핍,"Dendritic cell, monocyte, B and natural killer lymphocyte deficiency (DCML)\nMonocytopenia and mycobacterial infection syndrome (MONOMAC)\nFamilial myelodysplastic syndromes/acute myeloid leukemia (familiar MDS/AML)\nDeafness-lymphedema-leukemia syndrome (Emberger syndrome)\nNatural killer (NK) cell deficiency","혈액학적 및 면역학적으로 광범위한 범주의 표현형이 나타나는데, 단핵구 감소증, 재생불량성 빈혈이나 골수이형성증후군, 골수부전 등이 흔히 나타납니다.",GATA2 유전자 돌연변이
65dc4578da45daab46acd37e,글라스증후군,2번 염색체 장완 32부분의 결실 증후군\n(2q32 deletion syndrome)\n2번 염색체 장완 33.1부분의 미세결실 증후군\n(2q33.1 microdeletion syndrome),"언어 장애, 영아의 근긴장도 저하 및 수유곤란, 자폐증, 집중력 저하, 과잉행동, 공격성, 높은 구개궁, 구개열, 갈라진 목젖, 소두증, 안면 이형성, 치아 이상, 흉곽이상, 척추측만증, 관절 구축증, 판막 이상, 대동맥 확장증, 뇌 기형, 비뇨생식기 이상, 성장 지연 등",SATB2 유전자 돌연변이
65dc457bda45daab46acd380,유전성 만성 췌장염,가족성 췌장염\n(Familial pancreatitis)\n유전성 만성 췌장염\n(Hereditary chronic pancreatitis),"유전성 췌장염의 첫 증상은 주로 소아청소년 시기에 발생함, 만성적 혹은 간헐적인 경도에서 중증의 복통, 발열, 오심, 구토","췌장염 관련 유전자 변이 (PRSS1, SPINK1, CFTR, CTRC)"
65dc457dda45daab46acd382,고함-스타우트 병,골 소실 병\n(Disappearing Bone Disease)\n본태성 뼈용해\n(Essential Osteolysis)\n고함스 증후군\n(Gorhams Syndrome)\n골함-스타우트 증후군\n(Gorham-Stout Syndrome)\n특발성 대량 뼈용해\n(Idiopathic Massive Osteolysis)\n대량 고함 뼈용해\n(Massive Gorham Osteolysis)\n대량 뼈용해\n(Massive Osteolysis)\n병 골함-스타우트 병\n(Morbus Gorham-Stout Disease)\n진행성 대량 뼈용해\n(Progressive Massive Osteolysis)\n사라지는 뼈 병\n(Vanishing Bone Disease),"뼈 상실, 골절, 혈관종(Angiomas), 고통, 흔들리는 치아, 얼굴 기형, 수막염, 흉막삼출(Pleural effusion), 호흡 곤란",정확한 원인은 알 수 없다.
65dc4580da45daab46acd384,골드베르그-쉬프린첸 증후군,골드버그 쉬프린첸 큰결장증 증후군\n(Goldberg Shprintzen megacolon syndrome),"선천성거대결장증, 특징적인 얼굴 모양, 지적장애, 홍채 결손, 선천성심장결손",KIF1BP 단백 관련KIAA1279 유전자 돌연변이
65dc4582da45daab46acd386,고린증후군,"모반상 기저세포 암종 증후군\n(Nevoid basal cell carcinoma syndrome)\n기저세포모반증후군\n(Basal Cell Nevus Syndrome)\n골린-골츠 증후군\n(Gorlin-Goltz Syndrome)\nHermans-Herzberg 모반종\n(Hermans-Herzberg Phakomatosis)\n모반상 기저세포 암종 증후군의 약어\n(NBCCS)\n복합 상피종증을 가진 모반\n(Nevus, Epitheliomatosis Multiplex with)","모반상 기저세포암종, 치원성 각질화낭종","9번 염색체의 장완에 위치(9q22.3-q31)하는 PTCH 유전자의 돌연변이, 상염색체 우성유전"
65dc4585da45daab46acd388,골츠 증후군,소진피형성저하증\n(Focal dermal hypoplasia (FDH))\n골츠-골린 증후군\n(Goltz-Gorlin syndrome),"피부 위축 및 선형 색소침착, 유두종, 손발가락형성이상, 홍채 결손증, 지능저하",피부와 골격계의 결체조직의 형성이상
65dc4587da45daab46acd38a,근긴장이상을 동반한 고망간혈증,근긴장이상을 동반한 고망간혈증\n(Hypermanganesemia with dystonia)\n근긴장이상을 동반한 고망간혈증 1형\n(Hypermanganesemia with dystonia 1)\n근긴장이상을 동반한 고망간혈증 2형\n(Hypermanganesemia with dystonia 2),"근긴장이상이나 떨림, 어눌한 발음, 파킨슨 증상 등","망간을 전달하는 체내 막단백질의 이상으로 망간이 체내 (대뇌, 혈액, 또는 간)\n에 다량 축적"
65dc458ada45daab46acd38c,데니스-드래쉬 증후군,"윌름스 종양\n(Wilm’s tumor )\n프레이저 증후군\n( Fraser syndrome )\n미만성 혈관사이세포 경화\n( diffuse mesangial sclerosis, DMS )\n가성(혹은 진성) 반음양\n( pseudo- or true- hermaphroditism)","신증후군, 말기 신부전, 윌름 종양, 성별이 불분명한 성기, 생식샘 종양",WT1 유전자 이상
65dc458cda45daab46acd38e,동형접합 가족성 고콜레스테롤혈증,저밀도 콜레스테롤 수용체 장애,"조기에 발생하는 관상동맥 및 심혈관계 이상, 황색종(xanthomas), 각막 환(corneal arcus)","LDL수용체와 수용체 pathway에 관여하는 유전자(LDL receptor, Apo B-100, PCSK9, LDLRAP1)의 변이"
65dc458fda45daab46acd390,두개골간단형성부전증,잭슨형 두개골간단형성이상\n(Jackson type CMD)\n뼈연골형성\n(Osteochondroplasia),"머리와 얼굴 부위의 구별 가능한 이상, 뇌신경 장애, 장 뼈의 기형","5번 염색체의 단완에 위치되어있는(5p15.2-p14.1) ANKH유전자의 돌연변이로 인해 상염색체 우성 형질로 유전되거나, 6번 염색체의 장완에 위치되어있는(6q21-q22) GJA1유전자의 돌연변이 상염색체열성유전형태를 보임."
65dc4594da45daab46acd392,랑거 기드온 증후군,모발비지절증후군 제 2형\n(Trichorhinophalangeal syndrome type II (TRPS2) )\n8번 염색체 장완의 결손\n( Monosomy 8q24.1),"지능저하, 피부의 과도한 주름, 뼈돌출증, 성장장애, 난청, 소두증, 수족의 변형, 발달장애",8번 염색체 장완 (8q23.2-24.1)의 결손
65dc4596da45daab46acd394,레베르 유전성 시신경병증,레버 시신경병증\n(Lebers optic neuropathy)\n유전성 시신경병증\n(Hereditary optic neuroretinopathy)\nLHON\nLebers optic atrophy\nLebers Disease\nLebers Optic Neuropathy (LHON)\nLebers optic neuropathy\nHereditary optic neuroretinopathy,통증 없는 양안성 중심시력 저하,사립체유전자 돌연변이
65dc4598da45daab46acd396,로이-디에츠 증후군,Loeys-Dietz aortic aneurysm syndrome,"대동맥류, 대동맥박리, 골격계 이상, 구개열, 얇은 피부, 쉽게 멍듦, 알레르기, 천식, 염증성 장질환",유전자 돌연변이
65dc459bda45daab46acd398,로하드 증후군,"로하드 증후군\n(ROHHAD, Rapid-onset obesity with hypothalamic dysfunction hypoventilation and autonomic dysregulation)\n후기발병 중추성 저환기 증후군과 시상하부 기능장애\n(LO-CCHS/HD, Late onset central hypoventilation syndrome with hypothalamic dysfunction)\n신경내분비 종양이 동반된 로하드 증후군\n(ROHHADNET, Rapid-onset obesity with hypothalamic dysfunction hypoventilation, autonomic dysregulation, and neuroendocrine tumors)","만 1세 이후 나타나는 급격한 체중 증가, 호흡 장애(폐포저환기, 수면무호흡), 체온 조절 장애, 설사, 변비, 심장 박동수의 이상, 뇌하수체 기능저하, 사춘기지연, 신경내분비 종양, 일부에서 발작, 발달 장애",알려지지 않음 (일부에서 유전적 원인)
65dc459dda45daab46acd39a,메이어-고린 증후군,"귀, 무릎뼈, 단신 증후군\n(Ear, patella, short stature syndrome)\n소이증, 무슬개골, 소하악 증후군\n(Microtia, absent patella, micrognathia syndrome)","자궁내 성장 지연, 저신장\n슬개골 결여 또는 저형성을 포함한 골격계 이상\n소이증, 소두증, 낮게 위치한 귀, 외이도 형성 이상\n작은 입과 하악 구조\n잠복 고환, 대음순 저형성증\n식이 장애, 폐기종, 호흡 곤란",유전 질환
65dc45a0da45daab46acd39c,모왓-윌슨 증후군,"히르슈슈프룽병-정신 지체 증후군\n(Hirschsprung disease-mental retardation syndrome)\n히르슈슈프룽병이 동반 혹은 동반되지 않은 소두증, 정신 지체, 특징적 얼굴 형태 증후군\n(Microcephaly, mental retardation, and distinct facial features, with or without Hirschsprung disease)","특징적인 얼굴 형태: 사각형 형태의 얼굴, 양안 과다 격리증, 넓은 콧등과 둥근 콧대, 뾰족한 턱, 진한 눈썹, 위로 올라간 귓볼\n소두증, 정신 지체, 특히 언어 장애, 발달 장애, 발작, 저신장\n만성 변비\n남아의 경우 요도하열증\n소안구증, 선천성 심기형",유전 질환
65dc45a2da45daab46acd39e,무홍채증-소뇌성운동실조-정신박약,Gillespie증후군\n(Gillespie syndrome),"근육긴장저하, 발달지연, 부분적 무홍채증, 소뇌성 보행, 소뇌조화운동불능, 음절언어, 정신지연",현재까지 잘 알려져 있지 않음
65dc45a5da45daab46acd3a0,우발적 운동실조 유형 2,우발적 운동실조\n(episodic ataxia)\n가족성 편마비 두통\n(Familial hemiplegic migraine),"구토, 두통, 어지럼증, 눈운동이상 (안진), 경련, 고혈압",유전자 이상 CACNA1A
65dc45a7da45daab46acd3a2,빌트-호그-두베증후군,BHD 증후군\n(BHD Syndrome)\n호른스테인-니켄버그 증후군\n(Hornstein-Knickenberg Syndrome),"피부 종양, 폐 낭종, 기흉, 신장 종양, 섬유털집종, 털원반종(Trichodiscomas), 쥐젖(skin tag)으로 알려진 종양(Acrochordons), 호산성세포종(Oncocytoma), 협색소성 신장 세포 악성 종양(Chromophobe renal cell carcinoma), 신장 호산성세포종(Renal oncocytoma), 결장 용종(폴립), 구강 구진증, 혈관지방종, 부갑상샘종, 결합 조직 모반",염색체 17번의 단완(p)(17p11.2)에 위치하는 FLCN 유전자의 돌연변이
65dc45aada45daab46acd3a4,볼프람 증후군,"DIDMOAD증후군\n(DIDMOAD(Diabetes Insipidus, Diabetes Mellitus, Optic Atrophy, Deafness) syndrome)","당뇨, 반복적인 복통 및 췌장 결석","상염색체열성유전 , WFS1, WFS2 유전자의 돌연변이"
65dc45afda45daab46acd3a6,선천성 염화물 설사,"선천성 염화물 설사\n(Congenital chloride diarrhea)\n염산염설사, 선천성\n(Chloridorrhea, congenital)\n선천성 염산염설사\n(Congenital chloridorrheal)\n가족성 염소 설사\n(Familial chloride diarrhea)\n다로우 갬블 병\n(Darrow Gamble disease)","출생시부터 지속되는 만성 물설사, 대사성 알칼리증, 출생 전 태아기의 장관의 확장과 양수 과다증",SLC26A3 유전자의 돌연변이로 인한 장내 염소 흡수 장애
65dc45b1da45daab46acd3a8,선천성 무거핵구성 혈소판감소증,선천성 무거핵구성 혈소판감소증\n(Congenital amegakaryocytic thrombocytopenia)\n선천성 무거핵구성 혈소판감소증\n(Thrombocytopenia congenital amegakaryocytic)\n선천성 무거핵구성 혈소판감소증\n(CAMT ),"혈소판감소증(80-99%), 척추의 비정상적인 형태, 빈혈, 거친 얼굴 생김새, 선천성 멜라닌세포 모반, 척추 측만증, 짧은 목, 저신장(30-79%), 비정상적인 심장 중격 형태, 두개골의 골화 감소(5-29%)",MPL 유전자 돌연변이
65dc45b3da45daab46acd3aa,선천성 중추성 무호흡증,Haddad 증후군\n(Hirschsprung's disease)\nOndine 증후군,호흡 조절의 장애 (저환기),PHOX2B 유전자의 돌연변이
65dc45b6da45daab46acd3ac,슈바크만-다이아몬드 증후군,"선천성 췌장 지방종증\n(lipomatosis of pancreas, congenital)\n슈바크만 보디안 증후군\n(Shwachman？Bodian syndrome)\n슈바크만 다이아몬드 오스키 증후군\n(Shwachman？Diamond-Oski syndrome)\n슈바크만 증후군\n(Shwachman syndrome)","지방변증, 성장장애, 저신장, 잦은 감염, 골격계 이상","상염색체열성유전, SBDS 유전자(7q11.22)의 돌연변이"
65dc45b8da45daab46acd3ae,아동기 저수초형성 운동실조,뇌백질 소실 질환\n(Vanishing white matter disease),"운동실조, 근강직, 시신경 위축, 뇌병증",EIF2B 유전자의 변이
65dc45bbda45daab46acd3b0,아이펙스 증후군,"제1형 자가면역 장병증\n(Autoimmune enteropathy type 1)\nImmunodysregulation, polyendocrinopathy and enteropathy X-linked","설사, 장마비, 성장 장애, 당뇨, 갑상선염으로 인한 갑상선 기능 저하증 또는 항진증, 피부 발진, 건선, 아토피 피부염 및 습진, 혈소판 감소증, 용형성 빈열, 중성구 감소증, 자가면역에 의한 폐렴, 간염, 신염",FOXP3 유전자 이상
65dc45bdda45daab46acd3b2,안와 림프관종,림프관종\n(Lymphangioma),"안구돌출, 압박성 시신경병증, 눈꺼풀처짐, 안구 운동성이 감소",림프관종은 깊은 피하층에서 림프수조의 축적으로 인해서 발생함
65dc45c0da45daab46acd3b4,알란-헌든-더들리 증후군,근육긴장저하를 동반한 X 염색체 연관 정신지체\n(X-Linked Mental Retardation with Hypotonia)\nMonocarboxylate transporter-8(MCT8)(SLC16A2) 특정 갑상선호르몬 수송체 결핍\n(Monocarboxylate transporter-8(MCT8)(SLC16A2)-specific thyroid hormone cell transporter deficiency)\nMCT-8 결핍\n(Monocarboxylate transporter-8 deficiency)\n삼요오드티로닌 저항성\n(Triiodothyronine resistance)\nT3 저항성\n(T3 resistance),"심한 지적장애, 말더듬증, 근육긴장저하증, 강직성 하반신 마비, 반사이상항진, 무정위운동",SLC16A2(MCT8) 유전자의 돌연변이
65dc45c2da45daab46acd3b6,알렉산더 병,탈수초성 백색질장애\n(Dysmyelogenic Leukodystrophy )\n별아교세포의 섬유소 변성\n(Fibrinoid Degeneration of Astrocytes)\n섬유소 백색질장애\n(Fibrinoid Leukodystrophy )\n유리질 범신경병증\n(Hyaline Panneuropathy)\n로젠탈 섬유를 동반한 백색질장애\n(Leukodystrophy with Rosenthal Fibers )\n유리질 범신경병증을 동반한 거뇌증\n(Megalencephaly with Hyaline Panneuropathy),"성장지연, 거두증, 경련, 근육강직, 사지 마비, 언어장애, 호흡곤란, 연하곤란, 시각장애, 지적능력의 손상",유전자의 돌연변이
65dc45c5da45daab46acd3b8,앤틀리-빅슬러 증후군,두개골조기유합증\n후비공협착증\n상완요골융합증,"관절구축, 납작머리증(단두증), 두개골조기유합증, 상완요골융합증, 얼굴중간 형성저하증, 활모양 대퇴골, 후비공","아직 명확하게 밝혀지지는 않았으며 일부에서 유전자 이상이 보고 됨 , 상염색체우성유전 (FGFR2 유전자 돌연변이) , 상염색체열성유전 (POR 유전자 돌연변이)"
65dc45c9da45daab46acd3ba,에드하임-체스터 병,ECD\nLipoid Granulomatosis,각 장기 부전,혈소판 수혈시 혼입되는 백혈구의 조직적합성 항원에 대한 동종면역반응
65dc45ccda45daab46acd3bc,엠마누엘 증후군,엠마뉴엘 증후군\n(Emanuel Syndrome)\n과다 22번 염색체 증후군\n(supernumerary der(22) syndrome)\n과다 22번 염색체 증후군\n(supernumerary der(22)t(11;22) syndrome)\n22번 부분 삼염색체\n(partial trisomy 11;22),"다양한 선청성 기형 및 근 긴장 저하, 섭식장애, 성장장애가 발생하며 성장하면서 심한 발달지연 및 지능장애를 보임",염색체질환
65dc45ceda45daab46acd3be,10장완 말단 삼염색체 증후군,"Chromosome 10, partial trisomy 10q24-qter\nChromosome 10, trisomy 10q2\nDistal duplication 10q\nDistal trisomy 10q syndrome\nDup(10q) syndrome","성장지연, 근육긴장저하, 지능저하, 정신운동 지체, 머리나 안면의 기형, 손이나 발의 기형, 골격계 이상, 심장기형, 신장기형 등",염색체 이상
65dc45d1da45daab46acd3c0,10번 염색체 장완 말단부의 단일염색체증,10q 말단 결실\n(distal deletion 10q)\n10qter 단일염색체증\n(monosomy 10qter)\n10q 텔로미어 부위 결실\n(telomeric deletion 10q),"얼굴 기형, 근육 긴장도 저하, 척추측만증, 선천 심장 기형, 생식기 이상, 방광 팽창, 정신운동지연",10번 염색체 장완 말단부의 결실
65dc45d3da45daab46acd3c2,10번 염색체 장완의 22-23 부분의 미세결손 증후군,10q22.3q23.3 결실\n(Del(10)(q22.3q23.3))\n10q22.3q23.3 단일 염색체증\n(Monosomy 10q22.3q23.3)\nDel(10)(q22.3q23.3),"발달 지연, 지적 장애, 뇌전증, 자폐적 행동, 특징적 얼굴 생김새, 심장 기형, 근골격계 기형",10번 염색체 장완22-23 부분의 결실
65dc45d6da45daab46acd3c4,WAGR 증후군(11번 염색체 단완의 13부분 결손),WAGR 증후군\n(WAGR syndrome)\n염색체 11p 결실 증후군\n(11p deletion syndrome),"윌름종양(Wilms' Tumor), 무홍채증(Aniridia), 생식기 기형(Genitourinary abnormalities), 그리고 인지장애(Retardation)",염색체질환
65dc45d8da45daab46acd3c6,11번 염색체 장완의 말단부 삼염색체증,"11장완 부분 삼염색체증\n(11q partial trisomy)\n11장완13 부분 삼염색체증\n(Chromosome 11, Partial trisomy 11q13-qter)\n11장완21 부분 삼염색체증\n(Chromosome 11, Partial trisomy 11q21-qter)\n11장완23 부분 삼염색체증\n(Chromosome 11, Partial trisomy 11q23-qter)","성장지연, 발달지연, 머리얼굴이상, 중추신경계 기형, 심장기형, 골격계 기형, 저신장, 발작, 자폐 성향, 환청 등",염색체 이상
65dc45dbda45daab46acd3c8,14번 염색체 장완 말단부의 단일염색체증,14번 염색체 장완 말단부의 결손\n(Distal deletion 14q)\n14번 염색체 장완의 말단소립 결손\n(Telomeric deletion 14q),"범발달장애, 근긴장도저하, 선천 심기형, 특징적인 생김새, 경련, 치아이상, 안과적 이상, 고음의 약한 울음, 손발의 기형",14번 염색체 장완 말단부의 결손
65dc45ddda45daab46acd3ca,15장완11.2 미세결손 증후군,없음,발달지연 및 지능장애를 보이며 경련을 보일 수 있으나 증상 범위가 넓어 무증상도 상당 수임,염색체질환
65dc45e0da45daab46acd3cc,16번 염색체 단완의 11-12 부분의 미세결손 증후군,16p11.2p12.2 microdeletion syndrome\nmonosomy 16p11.2p12.2,"안면기형, 저신장, 심장질환, 발달지연, 섭취장애, 비만, 자폐, 지적장애",16번 염색체 단완 근위부의 미세 결실
65dc45e5da45daab46acd3ce,16번 염색체 단완의 결손,"Chromosome 16p deletion syndrome\nPartial deletion of chromosome 16p\nPartial monosomy of chromosome 16p\nPartial monosomy of the short arm of chromosome 16\nalpha-thalassemia-intellectual disability syndrome, deletion type\nalpha-thalassemia-intellectual disability syndrome, chromosome 16-related\nalpha-thalassemia/mental retardation syndrome, chromosome 16-related\nATR, deletion type\nHemoglobin H-related mental retardation (HBHR)\nMental retardation with hemoglobin H","빈혈, 지적장애, 운동/언어 발달지연, 간질, 양안과다격리증, 낮게 처진 눈꺼풀틈, 넓고 튀어나온 콧등, 작은 귀, 하악후퇴, 짧은 목, 소두증, 만곡족, 측만지증, 잠복고환, 요도하열, 성장지연",16번 염색체 단완의 결실
65dc45e7da45daab46acd3d0,18번 고리모양 염색체,없음,"지능저하, 성장지연, 근긴장저하, 두개골 안면 기형, 시력이상, 청력이상, 면역저하",18번 염색체 변이
65dc45e9da45daab46acd3d2,20번 염색체 장완의 말단부 삼염색체증,20번 삼염색체\n(Trisomy 20)\n20장완 삼염색체증\n(Trisomy 20q)\n20장완 부분삼염색체증\n(Partial trisomy 20q),"두개안면 기형, 골격이상, 심장이상, 기타장기이상, 내분비이상",20번 염색체 장완의 이상 (장완 말단 부분이 3개 존재)
65dc45ecda45daab46acd3d4,2장완11 미세중복 증후군,2q11 미세중복 증후군\n(2q11 microduplication syndrome),"지적 장애, 안면 기형, 위식도 역류, 저신장",염색체질환
65dc45eeda45daab46acd3d6,2번 염색체 장완의 24 부분의 미세결손 증후군,2번 염색체 장완의 24부분의 결손\n(Deletion 2q24)\n2번 염색체 장완의 24부분의 결손\n(2q24 deletion)\n2번 염색체 장완의 24부분의 단일염색체증\n(Monosomy 2q24),"경련, 소뇌증/소두증, 안면기형, 구순/구개열, 안과적 이상, 성장지연, 심기형, 손발의 기형, 발달지연, 자폐증, 중추성 무호흡증, 신생아 시기의 근긴장저하",2번 염색체 장완의 24부분의 결손
