	research_title	research_subject
25	Innovative Therapeutic Approaches for Mucopolysaccharidosis III	Mucopolysaccharidosis III ;  Sanfilippo syndrome ;  Treatment
26	Development of New Strategies for Enzyme Replacement Therapy for Lysosomal Storage Disorders	MPS II ;  Intraventricular (ICV) ;  Subcutaneous (SC) ;  Enzyme replacement therapy
27	Mucopolysaccharidoses in Taiwan	Enzyme replacement therapy ;  Hematopoietic stem cell transplantation ;  Mucopolysaccharidosis ;  Multidisciplinary ;  Newborn screening ;  Taiwan
28	Prenatal Diagnosis of Mucolipidosis Type II: Comparison of Biochemical and Molecular Analyses	Mucolipidosis type II ;  Prenatal diagnosis ;  Lysosomal storage disorder ;  Alpha/beta GlcNAc-1-phosphotransferase gene
29	Issues in Adults Prader-Willi Syndrome	Prader-Willi syndrome ;  Health ;  Life expectancy ;  Behavior
30	Joint Problems in Patients with Mucopolysaccharidosis Type II	Hunter syndrome ;  Lysosomal storage disease ;  Mucolopysaccharidosis type II ;  Joint
31	Fibroblast Growth Factor Receptor 3 (FGFR3) Signaling in Achondroplasia	Fibroblast-growth-factor-receptor 3 ;  C-type natriuretic peptide ;  Mitogen-activated protein kinase ;  Achondroplasia
32	Introduction to the New Version of PWS Application and It's Use in Medical Practice	Prader-Willi syndrome ;  Mobile application ;  Growth hormone therapy
33	Early Diagnosis for Mucopolysaccharidosis I - A 6-month-old Female Infant Presenting with Gibbus, Hirsutism and Mongolian Spots in a Well Baby Clinic	Early diagnosis ;  Gibbus ;  Hirsutism ;  Mongolian spots ;  Mucopolysaccharidosis I ;  Surgery
34	Molecular Genetics and Diagnostic Approach of Mucolipidosis II/III	Mucolipidosis II ;  Mucolipidosis III ;  GlcNAc-phosphotransferase ;  GNPTAB ;  GNPTG
35	Lysosomal Storage Disorders in India: A Mini Review	Lysosomal storage disorders ;  Enzyme replacement therapy ;  India
36	Glutaric Aciduria Type I: Overview	Glutaric aciduria type 1 ;  Glutaryl-CoA dehydrogenase ;  Metabolic disease ;  Organic aciduria
37	Growth Hormone Therapy in Children with Prader-Willi Syndrome	Prader-Willi syndrome ;  Growth hormone ;  Growth hormone deficiency ;  Guideline
38	Hematopoietic Cell Transplantation in Patients with Mucopolysaccharidosis Type II	Mucopolysaccharidosis type II ;  Hunter syndrome ;  Hematopoietic cell transplantation
39	Skeletal Manifestations of Mucolipidosis II/III	Mucolipidosis II ;  Mucolipidosis III ;  Neonatal hyperparathyroidism ;  Osteodystrophy ;  Dysostosis multiplex
40	Behavioral Problems in Patients with Prader-Willi Syndrome	Behavior disturbances ;  Prader-Willi syndrome
41	Lipoid Congenital Adrenal Hyperplasia Diagnosed in an Infant with Hyperpigmentation Only by Targeted Exome Sequencing	Congenital adrenal hyperplasia ;  Steroidogenic acute regulatory protein ;  Hyperpigmentation
42	Technology Trends of Growth Hormone and Development Strategies for Growtropin	Growtropin ;  Human growth hormone (hGH) ;  Biosimilar ;  Pen device ;  Long-acting product
43	Transdermal Drug Delivery Devices Based on Microneedles: A Review	Solid and hollow microneedle ;  Transdermal drug delivery ;  Microfabrication
44	Dual-Chamber Technology: Safe and Convenient Drug Delivery for Lyophilized Biologics	Dual-chamber ;  Lyophilization ;  Injectable device
45	Insulin/GLP-1 Treatment for Patients with DM	Insulin ;  GLP-1 receptor agonist ;  Prader-Willi syndrome ;  Diabetes mellitus
46	Growth Hormone Therapy in Adults with Prader-Willi Syndrome	Prader-Willi syndrome ;  Growth hormone deficiency ;  Growth hormone therapy
47	The Effect of Growth Hormone on mRNA Expression of the GABA<sub>B1</sub> Receptor Subunit and GH/IGF Axis Genes in a Mouse Model of Prader-Willi Syndrome	Prader-Willi syndrome ;  Snord116del mice ;  Cognitive impairment ;  Growth hormone ;  $GABA_B$ receptor subunit
48	Obesity and Metabolic Syndrome in Adults with Prader-Willi Syndrome	Prader-Willi syndrome ;  Obesity ;  Metabolic syndrome ;  Adipose tissue
49	Beneficial Effects of Growth Hormone Treatment in Prader-Willi Syndrome	Prader-Willi syndrome ;  Growth hormone ;  Clinical trial
50	Improving Adherence to Growth Hormone (GH) Therapy via Easypod<sup>TM</sup> May Help Maximize the Treatment Outcome	Automatic injector device ;  GH therapy ;  Adherence ;  $Easypod^{TM}$
51	An Update on Prader-Willi Syndrome with Diabetes Mellitus	Prader-Willi syndrome ;  Diabetes mellitus ;  Obesity
52	A Review of Recent Research in Treatment Approaches of Mucopolysaccharidosis (MPS) = A Review of Recent Research in Treatment Approaches of Mucopolysaccharidosis (MPS)	MPS ;  Mucopolysaccharidosis ;  Clinical trials ;  Enzyme replacement therapy
53	How to Understand Sleep and Sleep Problems in Patients with Prader-Willi Syndrome? = How to Understand Sleep and Sleep Problems in Patients with Prader-Willi Syndrome?	Sleep ;  Excessive daytime sleepiness ;  Sleep-related breathing disorder ;  REM sleep abnormalities ;  Hypothalamic dysfunction
54	Growth Hormone Therapy in PWS with Mobile Application-Living with PWS	Prader-Wiili syndrome ;  Growth hormone therapy ;  Mobile application
55	Improving Patient Compliance with Biopharmaceuticals by Reducing Injection-Associated Pain	Injection pain ;  Compliance ;  Formulation ;  Needle ;  Excipient
56	Exome and genome sequencing for diagnosing patients with suspected rare genetic disease	Rare diseases ;  Exome sequencing ;  Whole genome sequencing
57	Interstitial Lung Disease in a Patient with Dyskeratosis Congenita	Lung Diseases ;  Interstitial ;  Dyskeratosis Congenita ;  Anemia ;  Aplastic
58	Case Report : Erdheim-Chester Disease with Hepatitis, Glomerulonephritis, Aplastic Anemia and Lung Involvement	Erdheim-Chester disease ;  Glomerulonephritis ;  Aplastic anemia ;  Hepatitis ;  Lung involvement
59	Very Rare Case of Spindle Cell Carcinoma of Breast in Male	Breast neoplasms ;  Carcinoma ;  Triple negative breast neoplasms
60	P148 : A clinical study of skin diseases on vulvar = P148 : A clinical study of skin diseases on vulvar	Vulvar ;  Skin diseases
61	A Rare Case of Nontuberculous Mycobacterial Abscess Mimicking Brain Tumor in an Immunocompetent Patient = A Rare Case of Nontuberculous Mycobacterial Abscess Mimicking Brain Tumor in an Immunocompetent Patient	Nontuberculous mycobacteria ;  Central nervous system infections
62	Institutional Board Review for Clinical Investigations on Inflammatory Bowel Diseases: A Single-Center Study = Institutional Board Review for Clinical Investigations on Inflammatory Bowel Diseases: A Single-Center Study	Inflammatory bowel diseases ;  Institutional review board ;  Institutional review board recommendation
63	Ulcerative Colitis Diagnosed through Evaluation of Underlying Diseases in a Pyoderma Gangrenosum Adolescent without Gastrointestinal Symptoms = Ulcerative Colitis Diagnosed through Evaluation of Underlying Diseases in a Pyoderma Gangrenosum Adolescent without Gastrointestinal Symptoms	Colonoscopy ;  Inflammatory bowel disease ;  Pyoderma gangrenosum ;  Ulcer ;  Ulcerative colitis
64	P055：Clinical and histopathologic study of patient with autoimmune bullous diseases = P055：Clinical and histopathologic study of patient with autoimmune bullous diseases	Autoimmune ;  Bullous ;  Pemphigus
65	A Rare Occurrence of Primarily Extranodal Spinal Epidural Lymphoma With Spinal Cord Compression and Invasion to the Thoracic Cavity = A Rare Occurrence of Primarily Extranodal Spinal Epidural Lymphoma With Spinal Cord Compression and Invasion to the Thoracic Cavity	Lymphoma ;  Non-Hodgkin ;  Diffuse large cell lymphoma ;  Spinal cord compression ;  Epidural neoplasms
66	임상에서 분리된 희귀 비결핵 마이코박테리아 5종 = Five Rare Non-Tuberculous Mycobacteria Species Isolated from Clinical Specimens	Mycobacteria ;  Atypical ;  RNA ;  Ribosomal ;  16S ;  rpoB protein ;  Heat-Shock Protein 64
67	드문 비전형적인 형태와 분포를 보인 폐 유육종증 1예 = A Pulmonary Sarcoidosis Manifesting as a Rare Atypical Pattern and Distribution	Sarcoidosis ;  Pulmonary disease ;  CT
68	드문 형태의 원발성 Bronchiolitis Obliterans Organizing Pneumonia 2예 = 2cases of idiopathic BOOP associated with rare radiologic finding	BOOP ;  Migratory Pneumonic foci ;  Nodular infiltrates
69	기관지동맥 색전술후 발생한 피질맹 1례 = Transient Cortical Blindness A Rare Complication of Bronchial Artery Embolization	bronchial artery embolization ;  Transient cortical blindness
70	Crowned dens syndrome as a rare cause of anterior neck pain after transurethral resection of the prostate: a case report = Crowned dens syndrome as a rare cause of anterior neck pain after transurethral resection of the prostate: a case report	Inflammation ;  Neck pain ;  Odontoid process ;  Transurethral resection of prostate
71	Poster Session : PS 1460 ; Infectious Diseases : A Case of Infective Endocarditis Caused by Abiotrophia Defectiva in Korea = Poster Session : PS 1460 ; Infectious Diseases : A Case of Infective Endocarditis Caused by Abiotrophia Defectiva in Korea	Abiotrophia defectiva ;  infective endocarditis
72	[P190] Epithelioid blue nevus : a rare variant of blue nevus = [P190] Epithelioid blue nevus : a rare variant of blue nevus	Epithelioid ;  Blue nevus
73	Use of 18F-Fluorodeoxyglucose Positron Emission Tomography in Patients with Rare Head and Neck Cancers	Head and neck neoplasms ;  Fluorodeoxyglucose ;  Positron-emission tomography ;  Neoplasm staging ;  Surveillance
74	크론병 환자에서 발생한 폐동맥 색전증 = A Case of Pulmonary Thromboembolism in Crohn`s Disease	Crohn`s disease ;  Pulmonary thromboembolism
75	기관지 Dieulafoy 질환에 의한 대량 객혈 = A Case of Massive Hemoptysis due to Dieulafoy`s Disease of the Bronchus	Massive hemoptysis ;  Dieulafoy`s disease ;  Bronchial artery embolization
76	쓰쓰가무시병과 렙토스피라병 동시 감염 = A Case of Concomitant Scrub Typhus and Leptospirosis	Leptospirosis ;  Scrub typhus
77	폐 사르코이드증에서 동반된 그레이브스병 = A Case of Graves` Disease Coexistent with Pulmonary Sarcoidosis	Graves` disease ;  Sarcoidosis ;  Hyperthyroidism
78	호흡 세기관지염 연관 간질성 폐질환환자에서 확인된 비소세포폐암 = A Case of Non-Small Cell Lung Cancer in a Respiratory Bronchiolitis Associated Interstitial Lung Disease Patient	Bronchiolitis ;  Lung Diseases ;  Interstitial ;  Carcinoma ;  Non-Small-Cell Lung
79	Case Report : A Case of Isolated Pulmonary Mucormycosis in an Immunocompetent Host = Case Report : A Case of Isolated Pulmonary Mucormycosis in an Immunocompetent Host	Mucormycosis ;  Lung ;  Immunocompetence ;  Posaconazole
80	일차성 Sjogren씨 증후군에서 발생한 림프구성 간질성 폐렴 증례보고와 국내문헌고찰 = Lymphoid Interstitial Pneumonia Associated with Primary Sjogren`s Syndrome	Sjogren`s Syndrome ;  Lung Diseases ;  Interstitial ;  Lymphoid Interstitial Pneumonia
81	비장티푸스성 살모넬라 감염으로 발생한 농흉과 종격동염 = A Case of Empyema and Mediastinitis by Non-typhi Salmonella	Salmonella enteritidis ;  Empyema ;  Mediastinitis
82	선천성 우측 폐동맥 형성부전증 = A Case of Isolated Congenital Absence of Right Pulmonary Artery	Pulmonary artery ;  Agenesis ;  Hemoptysis
83	Mycobacterium avium에 의한 기관지 질환 = Mycobacterium avium Infection Presenting as Endobronchial Lesions in an Immunocompetent Patient	Mycobacterium avium ;  Endobronchial lesion ;  Immunocompetent host
84	Walking-Evoked Erection in Patients with Lumbar Degenerative Diseases: Eight Cases and Review of the Literature	Lumbar spinal stenosis ;  Priapism ;  Penile erection ;  Cauda equina symptoms ;  Reflexogenic erections
85	Case Reports : A Case of Pleural Hydatid Cyst Mimicking Malignancy in a Non-Endemic Country = Case Reports : A Case of Pleural Hydatid Cyst Mimicking Malignancy in a Non-Endemic Country	Echinococcosis ;  Pleura ;  Taenia
86	The Effects of Bronchiectasis on Asthma Exacerbation = The Effects of Bronchiectasis on Asthma Exacerbation	Bronchiectasis ;  Asthma ;  Disease Exacerbation
87	들깨 기름 흡인에 의한 지질폐렴 = A Case of Lipid Pneumonia by Green Perilla Oil	Pneumonia ;  Lipid ;  Oil ;  Perilla Seed ;  Bronchoalveolar Lavage
88	복통과 췌장결절로 발현한 비소세포폐암 = A Case of Non-small Cell Lung Cancer Presenting as Abdominal Pain and a Pancreatic Nodule	Lung neoplasms ;  Solitary pancreatic metastasis ;  Abdominal pain
89	Oral Myiasis - A Rare Case	oral myiasis ;  parasitosis ;  maggots ;  house fly ;  worm
90	Image of the Month : Malignant Mesothelioma Presenting as Large Neck Mass	Mesothelioma ;  Neck ;  Pleura
91	Case Report : A Case of Pulmonary Sarcoidosis with Endobronchial Nodular Involvement = Case Report : A Case of Pulmonary Sarcoidosis with Endobronchial Nodular Involvement	Sarcoidosis ;  Bronchi ;  Biopsy
92	Propylthiouracil 복용 후 발생한 사구체신염이 동반된 미만성 폐출혈 = A Case of Diffuse Alveolar Hemorrhage with Glomerulonephritis after Propylthiouracil Treatment	Propylthiouracil ;  Antibodies ;  Antineutrophil Cytoplasmic ;  Hemoptysis
93	간이식 환자에서 발생한 Nocardia farcinia 폐렴 및 패혈성 쇼크 = A Case of Pneumonia with Septic Shock Due to Nocardia farcinia in Liver Transplant Patient	Nocardia ;  Pneumonia ;  Shock ;  Sepsis ;  Liver Transplantation
94	이달의 X선 : 공동성 폐렴으로 오인된 폐기종을 둘러싼 선암 = Adenocarcinoma Surrounding Emphysema Mimicking Cavitary Pneumonia	Pneumonia ;  Lung ;  Adenocarcinoma ;  Emphysema
95	정상 폐활량을 보이는 성인 환자에서 FEF25~75%를 통한 기관지확장제 반응의 예견 = Prediction of Brobchodilator Response by Using FEF25~75% in Adult Patient with a Normal Spirometry Result	Bronchodilator Agents ;  Asthma
96	Case Report : Primary Malignant Fibrous Histiocytoma of the Pleura = Case Report : Primary Malignant Fibrous Histiocytoma of the Pleura	Histiocytoma ;  Malignant Fibrous ;  Pleura ;  Surgery
97	신경유육종증이 병발한 폐유육종증 = A Case of Pulmonary Sarcoidosis Combined with Neurosarcoidosis	Sarcoidosis ;  Neurosarcoidosis ;  Central nervous system
98	폐와 간의 동시성 원발성 중복암 = Synchronous Double Primary Cancers of Lung and Liver	Double primary cancer ;  Lung cancer ;  Hepatocellular carcinoma
99	PET/CT로 혈전증과 감별된 원발성 폐동맥 육종 1례 = A Case of Primary Pulmonary Artery Sarcoma Mimicking Pulmonary Embolism Role of PET/CT for Differential Diagnosis	PET/CT ;  Pulmonary artery sarcoma ;  Embolism
100	기관지내 아스페르길루스종 = A Case of Endobronchial Aspergilloma	Endobronchial aspergilloma ;  Bronchoscopy
101	상부 기관에 발생한 사구 종양 1예 = A Glomus Tumor of the Trachea	Trachea ;  Glomus tumor
102	전투경찰에서 발생한 폐렴에 있어서 Macrolide와 2세대 Cephalosporin의 치료 효과에 대한 전향적 비교 연구 = A Prospective Study for Comparing the Effects of Macrolide and Second-generation Cephalosporin on the Treatment of Pneumonia among Combat Policemen	Pneumonia ;  Macrolides ;  Cephalosporins ;  Mycoplasma
103	중간 세로칸 악성 곁신경절종 = A Case of Middle Mediastinal Malignant Paraganglioma	Paraganglioma ;  Mediastinum ;  Neoplasms
104	조직학적으로 확진된 구강 내 결핵 = A Case of Oral Tuberculosis Confirmed by Histopathology	Tuberculosis ;  Mouth ;  Histopathology
105	Docetaxel 투여 후 발생한 조갑하 농양 및 조갑 박리증 = A Case of Subungal Abscess and Onycholysis Induced by Docetaxel	Docetaxel ;  Onycholysis ;  Subungal abscess
106	우상엽 무기 폐로 발현된 마이코플라즈마 폐렴 = A Case of Mycoplasma Pneumonia Presenting with RUL Collapse	Mycoplasma ;  Pneumonia ;  Collapse
107	자발성 대량 혈흉이 발생한 단일 후종격동 신경집종 = Spontaneous Massive Hemothorax Associated with Solitary Posterior Mediastinal Neurilemmoma	Hemothorax ;  Neurilemmoma ;  Mediastinum ;  Neurogenic tumor
108	종격동에 발생한 혼합생식세포종양 = A Case of Mixed Germ Cell Tumor of the Mediastinum	Germ cell tumor ;  Mixed germ cell tumor ;  Mediastinum
109	궤양성 대장염에 병발된 비특이적 간질성 폐렴 = A Case of Nonspecific Interstitial Pneumonia in a Patient with Ulcerative Colitis	Nonspecific interstitial pneumonia ;  Ulcerative colitis
110	우측 빗장밑정맥에 발생한 혈관 내 지방종 = Intravascular Lipoma of the Right Subclavian Vein	Lipoma ;  Subclavian vein ;  Brachiocephalic veins
111	국소병변없이 거대한 종격동 종괴로만 재발된 자궁경부암 = A Case of Recurred Uterine Cervical Cancer Presented as Only Huge Mediastinal Mass	Mediastinal mass ;  Uterine cervical cancer ;  Recurrence
112	근치적 신절제술 후 7년만에 기관지내 전이로 발견된 신세포암 = A Case of Endobronchial Metastasis from Renal Cell Carcinoma 7 Years after Nephrectomy	Rrenal cell carcinoma ;  Eendobronchial metastasis
113	전립선 암의 다발성 기관지내전이 = A Case of Multiple Endobronchial Metastases from Prostatic Carcinoma	Multiple endobronchial metastases ;  Prostatic cancer
114	Child-Pugh 분류 A군 간경화에 수반된 간폐증후군 = A Case of Hepatopulmonary Syndrome in a Patient with Child-Pugh Class A Liver Cirrhosis	Hepatopulmonary syndrome ;  Hypoxemia ;  Liver cirrhosis ;  Liver transplantation
115	식도이완불능증 환자에서 스쿠알렌 복용 후 발생한 지방성 폐렴 = A Case of Exogenous Lipoid Pneumonia after Ingestion of Squalene in Patients with Achalasia	Lipoid pneumonia ;  Achalasia ;  Squalene
116	소세포폐암 환자에서 토포테칸 투약 후 발생한 급성호흡곤란증후군 = Acute Respiratory Distress Syndrome after Topotecan Therapy in a Patient with Small Cell Lung Cancer	Small cell carcinoma ;  Topotecan ;  Acute respiratory distress syndrome
117	A Case of Pulmonary MALT Lymphoma Arising from Lymphocytic Interstitial Pneumonitis = A Case of Pulmonary MALT Lymphoma Arising from Lymphocytic Interstitial Pneumonitis	Lymphoma ;  Lymphoproliferative Disorders ;  Lung Diseases ;  Interstitial ;  Lymphoid Tissue
118	비소세포성 폐암으로 인한 기관지 림프절 누공 = A Case of Node-bronchial Fistula by Non-small Cell Lung Cancer	Bronchial Fistula ;  Lung Neoplasms ;  Lymph Nodes
119	복강 동맥에서 혈액 공급을 받는 엽내 폐 분리증 = Intralobar Pulmonary Sequestration Receiving Its Blood Supply from the Celiac Artery	Respiratory System Abnormalities ;  Bronchopulmonary Sequestration ;  Celiac Artery
120	장결핵으로 인한 성인 장중첩증 = A Case of Adult Intussusception Induced by Intestinal Tuberculosis	Intussusception ;  Adult ;  Tuberculosis ;  Gastrointestinal
121	페그-인터페론과 리바비린 병합치료 중 발생한 간질성 페렴 및 범혈구 감소증 = A Case of Interstitial Pneumonitis and Pancytopenia Following the Combination Therapy of Pegylated Interferon and Ribavirin	Hepatitis C ;  Chronic ;  peginterferon alfa-2a ;  Ribavirin ;  Pancytopenia ;  Interstitial Lung Diseases
122	Erlotinib에 대한 내성 발생 후 Gefitinib에 반응한 진행성 폐선암 = Successful Rechallenge with Gefitinib for an Initial Erlotinib-Responder with Advanced Lung Adenocarcinoma	erlotinib ;  gefitinib ;  Adenocarcinoma of Lung
123	BOOP 형태로 발현된 Epstein-Barr Virus 폐렴 = A Case of Bronchiolitis Obliterans Organizing Pneumonia from Epstein-Barr Virus	Bronchiolitis obliterans organizing pneumonia ;  Epstein-barr virus
124	근치적 수술 후 소장으로 단독 전이된 폐의 다형성 암종 = Single Small Bowel Metastasis after Curative Operation in a Pleomorphic Lung Carcinoma	Lung Neoplasms ;  Neoplasm Metastasis ;  Intestine ;  Small
125	융기성 피부섬유육종의 폐전이 = A Case of Pulmonary Metastasis of a Dermatofibrosarcoma Protuberans	Dermatofibrosarcoma protuberans ;  Pulmonary metastasis
126	Case Reports : Asymptomatic Solitary Renal Metastasis Detected during Surveillance after Curative Surgery for Squamous Cell Carcinoma of Lung = Case Reports : Asymptomatic Solitary Renal Metastasis Detected during Surveillance after Curative Surgery for Squamous Cell Carcinoma of Lung	Lung Neoplasms ;  Carcinoma ;  Squamous Cell ;  Neoplasm Metastasis ;  Kidney
127	다발성 낭성 유두상 폐선암 = A Case of Papillary Adenocarcinoma Presenting with Multiple Cysts	Lung Neoplasms ;  Adenocarcinoma ;  Cysts
128	폐 결절성 림프구양 증식증 = Pulmonary Nodular Lymphoid Hyperplasia	Pseudolymphoma ;  Lymphoma ;  B-Cell ;  Marginal Zone ;  Adenocarcinoma ;  Pneumonia
129	A Case of Asymptomatic, Localized, and Idiopathic Diffuse Alveolar Damage = A Case of Asymptomatic, Localized, and Idiopathic Diffuse Alveolar Damage	Idiopathic Interstitial Pneumonias ;  Idiopathic Pulmonary Fibrosis ;  Lung Injury ;  Pathology
130	Progression-Free Survival: An Important Prognostic Marker for Long-Term Survival of Small Cell Lung Cancer = Progression-Free Survival: An Important Prognostic Marker for Long-Term Survival of Small Cell Lung Cancer	Small Cell Lung Carcinoma ;  Prognosis ;  Disease-Free Survival
131	Clinical Analysis of Spontaneous Pneumomediastinum = Clinical Analysis of Spontaneous Pneumomediastinum	Mediastinum ;  Mediastinal Emphysema
132	성인에서 진단된 선천성 낭포성 유선종 폐기형 6예 = Congenital Cystic Adenomatoid Malformation of Lung in Adults: Clinical, Pathologic and Radiologic Evaluation of Six Patients	Adult ;  Congenital cystic adenomatoid malformation ;  Surgery
133	Endobronchial Metastases from Extrathoracic Malignancies: Recent 10 Years` Experience in a Single University Hospital = Endobronchial Metastases from Extrathoracic Malignancies: Recent 10 Years` Experience in a Single University Hospital	Bronchi ;  Neoplasm Metastasis ;  Neoplasms
134	유두상 갑상선 암에 의한 흉막 전이 1예 = A Case of Pleural Metastasis from Papillary Tthyroid Carcinoma	Malignant pleural effusion ;  Papillary thyroid carcinoma ;  Pleural metastasis
135	Case Reports : A Case of Balsalazide-Induced Limited Form of Granulomatosis with Polyangiitis with Bronchiolitis Obliterans Organizing Pneumonia-Like Variant in Ulcerative Colitis = Case Reports : A Case of Balsalazide-Induced Limited Form of Granulomatosis with Polyangiitis with Bronchiolitis Obliterans Organizing Pneumonia-Like Variant in Ulcerative Colitis	Balsalazide ;  Wegener Granulomatosis ;  Colitis ;  Ulcerative
136	Case Reports : Ecthyma Gangrenosum: A Rare Cutaneous Manifestation Caused by Stenotrophomonas maltophilia in a Leukemic Patient	Ecthyma gangrenosum ;  Stenotrophomonas maltophilia
137	Cavernous sinus thrombosis following dental extraction : a rare case report and forgotten entity	Tooth extraction ;  Infection ;  Cavernous sinus thrombosis ;  Chemosis ;  Unregistered dental practitioner
138	Metastatic hepatocellular carcinoma in the maxilla and temporal bone: a rare case report	Hepatocellular carcinoma ;  Metastasis ;  Maxilla ;  Temporal bone
139	전립선 암에서 Bicalutamide 사용으로 생긴 간질성 폐질환 = Bicalutamide-induced Interstitial Lung Disease	Bicalutamide ;  Lung Diseases ;  Interstitial ;  Prostatic Neoplasms
140	폐종괴와 기관지 탄분섬유화로 발현한 Mycobacterium kansasii 감염 = Mycobacterium Kansasii Disease Presenting As a Lung Mass and Bronchial Anthracofibrosis	Mycobacterium kansasii ;  Lung mass ;  anthracofibrosis
141	소세포폐암에 동반된 미세변화 신증후군 = A Case of the Minimal Change Nephropathy Associated with Small Cell Lung Cancer	Small cell lung cancer ;  Minimal change nephropathy ;  Nephrotic syndrome
